代码,展示代码,名称,行业,市场,市值,中证全指权重,最新成交额,纳入日期
sz002459,002459.SZ,晶澳科技,电力设备,深交所,39888668310.5,0.037,900089662.0,2026-05-09
sh688472,688472.SH,阿特斯,电力设备,上交所,39888668310.5,0.037,873269511.0,2026-05-09
sz300001,300001.SZ,特锐德,电力设备,深交所,39888668310.5,0.037,692079496.0,2026-05-09
sh688234,688234.SH,天岳先进,电子,上交所,39888668310.5,0.037,1408689553.0,2026-05-09
sh688180,688180.SH,君实生物,医药生物,上交所,39888668310.5,0.037,556176596.0,2026-05-09
sz000559,000559.SZ,万向钱潮,汽车,深交所,39888668310.5,0.037,3128763493.0,2026-05-09
sh600039,600039.SH,四川路桥,建筑装饰,上交所,39888668310.5,0.037,530109940.0,2026-05-09
sz000034,000034.SZ,神州数码,计算机,深交所,39888668310.5,0.037,1515576086.0,2026-05-09
sz002405,002405.SZ,四维图新,计算机,深交所,39888668310.5,0.037,446736888.0,2026-05-09
sz002149,002149.SZ,西部材料,有色金属,深交所,39888668310.5,0.037,6866933024.0,2026-05-09
sh600259,600259.SH,中稀有色,有色金属,上交所,39888668310.5,0.037,1268041139.0,2026-05-09
sh600595,600595.SH,中孚实业,有色金属,上交所,39888668310.5,0.037,488854982.0,2026-05-09
sz300570,300570.SZ,太辰光,通信,深交所,39888668310.5,0.037,6674421967.0,2026-05-09
sz300251,300251.SZ,光线传媒,传媒,深交所,39888668310.5,0.037,1030312443.0,2026-05-09
sz300409,300409.SZ,道氏技术,电力设备,深交所,38810596194.0,0.036,1290233437.0,2026-05-09
sh603256,603256.SH,宏和科技,建筑材料,上交所,38810596194.0,0.036,3505276009.0,2026-05-09
sz000592,000592.SZ,平潭发展,农林牧渔,深交所,38810596194.0,0.036,2933287178.0,2026-05-09
sz300102,300102.SZ,乾照光电,电子,深交所,38810596194.0,0.036,2893195957.0,2026-05-09
sz300236,300236.SZ,上海新阳,电子,深交所,38810596194.0,0.036,1353750255.0,2026-05-09
sz300142,300142.SZ,沃森生物,医药生物,深交所,38810596194.0,0.036,1045269383.0,2026-05-09
sh603087,603087.SH,甘李药业,医药生物,上交所,38810596194.0,0.036,275207071.0,2026-05-09
sz001267,001267.SZ,汇绿生态,建筑装饰,深交所,38810596194.0,0.036,3465528735.0,2026-05-09
sh601618,601618.SH,中国中冶,建筑装饰,上交所,38810596194.0,0.036,275286553.0,2026-05-09
sh600536,600536.SH,中国软件,计算机,上交所,38810596194.0,0.036,1461886850.0,2026-05-09
sz000060,000060.SZ,中金岭南,有色金属,深交所,38810596194.0,0.036,3436378637.0,2026-05-09
sz300364,300364.SZ,中文在线,传媒,深交所,38810596194.0,0.036,2790986776.0,2026-05-09
sh601696,601696.SH,中银证券,非银金融,上交所,38810596194.0,0.036,354511315.0,2026-05-09
sh600515,600515.SH,海南机场,房地产,上交所,37732524077.5,0.035,543517959.0,2026-05-09
sh601717,601717.SH,中创智领,机械设备,上交所,37732524077.5,0.035,305315479.0,2026-05-09
sz000636,000636.SZ,风华高科,电子,深交所,37732524077.5,0.035,2312385115.0,2026-05-09
sh603005,603005.SH,晶方科技,电子,上交所,37732524077.5,0.035,1181753489.0,2026-05-09
sh688617,688617.SH,惠泰医疗,医药生物,上交所,37732524077.5,0.035,273403493.0,2026-05-09
sz002085,002085.SZ,万丰奥威,汽车,深交所,37732524077.5,0.035,467505661.0,2026-05-09
sh601777,601777.SH,千里科技,汽车,上交所,37732524077.5,0.035,408063082.0,2026-05-09
sz300170,300170.SZ,汉得信息,计算机,深交所,37732524077.5,0.035,3030901496.0,2026-05-09
sh603516,603516.SH,淳中科技,计算机,上交所,37732524077.5,0.035,1172287695.0,2026-05-09
sz002378,002378.SZ,章源钨业,有色金属,深交所,37732524077.5,0.035,2538595148.0,2026-05-09
sh600637,600637.SH,东方明珠,传媒,上交所,37732524077.5,0.035,816324931.0,2026-05-09
sz002624,002624.SZ,完美世界,传媒,深交所,37732524077.5,0.035,672408448.0,2026-05-09
sh603369,603369.SH,今世缘,食品饮料,上交所,37732524077.5,0.035,490668651.0,2026-05-09
sz002318,002318.SZ,久立特材,钢铁,深交所,37732524077.5,0.035,367386058.0,2026-05-09
sh603063,603063.SH,禾望电气,电力设备,上交所,36654451961.0,0.034,1781113567.0,2026-05-09
sz002506,002506.SZ,协鑫集成,电力设备,深交所,36654451961.0,0.034,1410906664.0,2026-05-09
sh603806,603806.SH,福斯特,电力设备,上交所,36654451961.0,0.034,1153388844.0,2026-05-09
sh600732,600732.SH,爱旭股份,电力设备,上交所,36654451961.0,0.034,521497469.0,2026-05-09
sz000876,000876.SZ,新 希 望,农林牧渔,深交所,36654451961.0,0.034,209024222.0,2026-05-09
sh688372,688372.SH,伟测科技,电子,上交所,36654451961.0,0.034,1681310765.0,2026-05-09
sz002484,002484.SZ,江海股份,电子,深交所,36654451961.0,0.034,1394025203.0,2026-05-09
sh688608,688608.SH,恒玄科技,电子,上交所,36654451961.0,0.034,816868134.0,2026-05-09
sh688409,688409.SH,富创精密,电子,上交所,36654451961.0,0.034,734978583.0,2026-05-09
sh600027,600027.SH,华电国际,公用事业,上交所,36654451961.0,0.034,602447922.0,2026-05-09
sz002653,002653.SZ,海思科,医药生物,深交所,36654451961.0,0.034,431813885.0,2026-05-09
sh603929,603929.SH,亚翔集成,建筑装饰,上交所,36654451961.0,0.034,800586860.0,2026-05-09
sz300738,300738.SZ,奥飞数据,通信,深交所,36654451961.0,0.034,1909849100.0,2026-05-09
sh600060,600060.SH,海信视像,家用电器,上交所,36654451961.0,0.034,260225736.0,2026-05-09
sz002025,002025.SZ,航天电器,国防军工,深交所,36654451961.0,0.034,1724237975.0,2026-05-09
sz302132,302132.SZ,中航成飞,国防军工,深交所,36654451961.0,0.034,954170479.0,2026-05-09
sz000983,000983.SZ,山西焦煤,煤炭,深交所,36654451961.0,0.034,473033571.0,2026-05-09
sh600208,600208.SH,衢州发展,房地产,上交所,35576379844.5,0.033,2652628516.0,2026-05-09
sz000564,000564.SZ,供销大集,商贸零售,深交所,35576379844.5,0.033,464099483.0,2026-05-09
sh688333,688333.SH,铂力特,机械设备,上交所,35576379844.5,0.033,1100674907.0,2026-05-09
sz301377,301377.SZ,鼎泰高科,机械设备,深交所,35576379844.5,0.033,982921930.0,2026-05-09
sh603699,603699.SH,纽威股份,机械设备,上交所,35576379844.5,0.033,665519733.0,2026-05-09
sz301217,301217.SZ,铜冠铜箔,电力设备,深交所,35576379844.5,0.033,3997675672.0,2026-05-09
sh603629,603629.SH,利通电子,电子,上交所,35576379844.5,0.033,6150146182.0,2026-05-09
sh688266,688266.SH,泽璟制药,医药生物,上交所,35576379844.5,0.033,337811992.0,2026-05-09
sz300832,300832.SZ,新产业,医药生物,深交所,35576379844.5,0.033,229028608.0,2026-05-09
sh600085,600085.SH,同仁堂,医药生物,上交所,35576379844.5,0.033,140385125.0,2026-05-09
sh601607,601607.SH,上海医药,医药生物,上交所,35576379844.5,0.033,134263289.0,2026-05-09
sh603596,603596.SH,伯特利,汽车,上交所,35576379844.5,0.033,623039408.0,2026-05-09
sh603766,603766.SH,隆鑫通用,汽车,上交所,35576379844.5,0.033,236321539.0,2026-05-09
sh600845,600845.SH,宝信软件,计算机,上交所,35576379844.5,0.033,876716631.0,2026-05-09
sz301269,301269.SZ,华大九天,计算机,深交所,35576379844.5,0.033,772943152.0,2026-05-09
sz000158,000158.SZ,常山北明,计算机,深交所,35576379844.5,0.033,618579767.0,2026-05-09
sz002180,002180.SZ,奔图科技,计算机,深交所,35576379844.5,0.033,288503675.0,2026-05-09
sh601958,601958.SH,金钼股份,有色金属,上交所,35576379844.5,0.033,808686105.0,2026-05-09
sz001965,001965.SZ,招商公路,交通运输,深交所,35576379844.5,0.033,90781287.0,2026-05-09
sz300002,300002.SZ,神州泰岳,传媒,深交所,35576379844.5,0.033,527448980.0,2026-05-09
sz002673,002673.SZ,西部证券,非银金融,深交所,35576379844.5,0.033,156150092.0,2026-05-09
sz000728,000728.SZ,国元证券,非银金融,深交所,35576379844.5,0.033,154940573.0,2026-05-09
sh600918,600918.SH,中泰证券,非银金融,上交所,35576379844.5,0.033,127179859.0,2026-05-09
sz000830,000830.SZ,鲁西化工,基础化工,深交所,35576379844.5,0.033,471338488.0,2026-05-09
sh600873,600873.SH,梅花生物,基础化工,上交所,35576379844.5,0.033,335323889.0,2026-05-09
sz300699,300699.SZ,光威复材,国防军工,深交所,35576379844.5,0.033,957773635.0,2026-05-09
sh600186,600186.SH,莲花控股,食品饮料,上交所,35576379844.5,0.033,3394675769.0,2026-05-09
sh603156,603156.SH,养元饮品,食品饮料,上交所,35576379844.5,0.033,569221947.0,2026-05-09
sh601699,601699.SH,潞安环能,煤炭,上交所,35576379844.5,0.033,456039189.0,2026-05-09
sz300024,300024.SZ,机器人,机械设备,深交所,34498307728.0,0.032,784012527.0,2026-05-09
sh600869,600869.SH,远东股份,电力设备,上交所,34498307728.0,0.032,1607527942.0,2026-05-09
sh688390,688390.SH,固德威,电力设备,上交所,34498307728.0,0.032,1118359561.0,2026-05-09
sz300131,300131.SZ,英唐智控,电子,深交所,34498307728.0,0.032,2816737138.0,2026-05-09
sz301611,301611.SZ,珂玛科技,电子,深交所,34498307728.0,0.032,1700013547.0,2026-05-09
sh601778,601778.SH,晶科科技,公用事业,上交所,34498307728.0,0.032,3722284663.0,2026-05-09
sh600803,600803.SH,新奥股份,公用事业,上交所,34498307728.0,0.032,166409538.0,2026-05-09
sh688166,688166.SH,博瑞医药,医药生物,上交所,34498307728.0,0.032,941298144.0,2026-05-09
sz300003,300003.SZ,乐普医疗,医药生物,深交所,34498307728.0,0.032,352082841.0,2026-05-09
sh600518,600518.SH,康美药业,医药生物,上交所,34498307728.0,0.032,266349741.0,2026-05-09
sz301550,301550.SZ,斯菱智驱,汽车,深交所,34498307728.0,0.032,2049676577.0,2026-05-09
sz002065,002065.SZ,东华软件,计算机,深交所,34498307728.0,0.032,834113187.0,2026-05-09
sh600100,600100.SH,同方股份,计算机,上交所,34498307728.0,0.032,832338497.0,2026-05-09
sh600388,600388.SH,龙净环保,环保,上交所,34498307728.0,0.032,222635913.0,2026-05-09
sh601020,601020.SH,华钰矿业,有色金属,上交所,34498307728.0,0.032,1104856637.0,2026-05-09
sh688668,688668.SH,鼎通科技,通信,上交所,34498307728.0,0.032,1242780662.0,2026-05-09
sz300628,300628.SZ,亿联网络,通信,深交所,34498307728.0,0.032,342181124.0,2026-05-09
sh603067,603067.SH,振华股份,基础化工,上交所,34498307728.0,0.032,1604916918.0,2026-05-09
sh600378,600378.SH,昊华科技,基础化工,上交所,34498307728.0,0.032,608645864.0,2026-05-09
sh601216,601216.SH,君正集团,基础化工,上交所,34498307728.0,0.032,386447471.0,2026-05-09
sz300065,300065.SZ,海兰信,国防军工,深交所,34498307728.0,0.032,2730108312.0,2026-05-09
sz000729,000729.SZ,燕京啤酒,食品饮料,深交所,34498307728.0,0.032,491137542.0,2026-05-09
sh600348,600348.SH,华阳股份,煤炭,上交所,34498307728.0,0.032,505100583.0,2026-05-09
sh600641,600641.SH,先导基电,房地产,上交所,33420235611.5,0.031,1451034743.0,2026-05-09
sz000400,000400.SZ,许继电气,电力设备,深交所,33420235611.5,0.031,843644989.0,2026-05-09
sh600312,600312.SH,平高电气,电力设备,上交所,33420235611.5,0.031,663160432.0,2026-05-09
sz301526,301526.SZ,国际复材,建筑材料,深交所,33420235611.5,0.031,3055218021.0,2026-05-09
sh600177,600177.SH,雅戈尔,纺织服饰,上交所,33420235611.5,0.031,157463536.0,2026-05-09
sh603160,603160.SH,汇顶科技,电子,上交所,33420235611.5,0.031,348532014.0,2026-05-09
sh600930,600930.SH,华电新能,公用事业,上交所,33420235611.5,0.031,1321960331.0,2026-05-09
sz300122,300122.SZ,智飞生物,医药生物,深交所,33420235611.5,0.031,351680419.0,2026-05-09
sz000623,000623.SZ,吉林敖东,医药生物,深交所,33420235611.5,0.031,212076993.0,2026-05-09
sh603119,603119.SH,浙江荣泰,汽车,上交所,33420235611.5,0.031,3133382062.0,2026-05-09
sz002410,002410.SZ,广联达,计算机,深交所,33420235611.5,0.031,512786398.0,2026-05-09
sh603588,603588.SH,高能环境,环保,上交所,33420235611.5,0.031,860875585.0,2026-05-09
sz000688,000688.SZ,国城矿业,有色金属,深交所,33420235611.5,0.031,1593805959.0,2026-05-09
sh603077,603077.SH,和邦生物,基础化工,上交所,33420235611.5,0.031,488483522.0,2026-05-09
sz002151,002151.SZ,北斗星通,国防军工,深交所,33420235611.5,0.031,1509046957.0,2026-05-09
sh601997,601997.SH,贵阳银行,银行,上交所,32342163495.0,0.03,186447685.0,2026-05-09
sh601933,601933.SH,永辉超市,商贸零售,上交所,32342163495.0,0.03,324243976.0,2026-05-09
sz000811,000811.SZ,冰轮环境,机械设备,深交所,32342163495.0,0.03,1104856005.0,2026-05-09
sh600114,600114.SH,东睦股份,机械设备,上交所,32342163495.0,0.03,551003199.0,2026-05-09
sh688005,688005.SH,容百科技,电力设备,上交所,32342163495.0,0.03,1974648218.0,2026-05-09
sh688503,688503.SH,聚和材料,电力设备,上交所,32342163495.0,0.03,1244472085.0,2026-05-09
sh600363,600363.SH,联创光电,电子,上交所,32342163495.0,0.03,955759136.0,2026-05-09
sh688018,688018.SH,乐鑫科技,电子,上交所,32342163495.0,0.03,837539828.0,2026-05-09
sz002015,002015.SZ,协鑫能科,公用事业,深交所,32342163495.0,0.03,3011936090.0,2026-05-09
sh600025,600025.SH,华能水电,公用事业,上交所,32342163495.0,0.03,285569767.0,2026-05-09
sh600642,600642.SH,申能股份,公用事业,上交所,32342163495.0,0.03,247309383.0,2026-05-09
sz002223,002223.SZ,鱼跃医疗,医药生物,深交所,32342163495.0,0.03,327397897.0,2026-05-09
sz000999,000999.SZ,华润三九,医药生物,深交所,32342163495.0,0.03,295893102.0,2026-05-09
sh601799,601799.SH,星宇股份,汽车,上交所,32342163495.0,0.03,1140450081.0,2026-05-09
sz000967,000967.SZ,盈峰环境,环保,深交所,32342163495.0,0.03,4995303523.0,2026-05-09
sz300627,300627.SZ,华测导航,通信,深交所,32342163495.0,0.03,466528610.0,2026-05-09
sh601975,601975.SH,招商南油,交通运输,上交所,32342163495.0,0.03,2266203391.0,2026-05-09
sh603444,603444.SH,吉比特,传媒,上交所,32342163495.0,0.03,734629798.0,2026-05-09
sz000415,000415.SZ,渤海租赁,非银金融,深交所,32342163495.0,0.03,379855792.0,2026-05-09
sz000750,000750.SZ,国海证券,非银金融,深交所,32342163495.0,0.03,145856345.0,2026-05-09
sh600486,600486.SH,扬农化工,基础化工,上交所,32342163495.0,0.03,465433245.0,2026-05-09
sh688065,688065.SH,凯赛生物,基础化工,上交所,32342163495.0,0.03,272778443.0,2026-05-09
sz002413,002413.SZ,雷科防务,国防军工,深交所,32342163495.0,0.03,2320969268.0,2026-05-09
sh600765,600765.SH,中航重机,国防军工,上交所,32342163495.0,0.03,552291961.0,2026-05-09
sz000596,000596.SZ,古井贡酒,食品饮料,深交所,32342163495.0,0.03,259344494.0,2026-05-09
sz300896,300896.SZ,爱美客,美容护理,深交所,32342163495.0,0.03,386980428.0,2026-05-09
sh603667,603667.SH,五洲新春,机械设备,上交所,31264091378.5,0.029,2887365873.0,2026-05-09
sz300083,300083.SZ,创世纪,机械设备,深交所,31264091378.5,0.029,2254927665.0,2026-05-09
sh688778,688778.SH,厦钨新能,电力设备,上交所,31264091378.5,0.029,784152637.0,2026-05-09
sz300999,300999.SZ,金龙鱼,农林牧渔,深交所,31264091378.5,0.029,222266469.0,2026-05-09
sz002044,002044.SZ,美年健康,医药生物,深交所,31264091378.5,0.029,2394719803.0,2026-05-09
sh603127,603127.SH,昭衍新药,医药生物,上交所,31264091378.5,0.029,957500629.0,2026-05-09
sh600521,600521.SH,华海药业,医药生物,上交所,31264091378.5,0.029,327808220.0,2026-05-09
sh600166,600166.SH,福田汽车,汽车,上交所,31264091378.5,0.029,635965573.0,2026-05-09
sz300811,300811.SZ,铂科新材,有色金属,深交所,31264091378.5,0.029,769486717.0,2026-05-09
sh600061,600061.SH,国投资本,非银金融,上交所,31264091378.5,0.029,233371125.0,2026-05-09
sh600909,600909.SH,华安证券,非银金融,上交所,31264091378.5,0.029,195723064.0,2026-05-09
sh600369,600369.SH,西南证券,非银金融,上交所,31264091378.5,0.029,141116952.0,2026-05-09
sh600862,600862.SH,中航高科,国防军工,上交所,31264091378.5,0.029,636183475.0,2026-05-09
sz000629,000629.SZ,钒钛股份,钢铁,深交所,31264091378.5,0.029,676756268.0,2026-05-09
sz300769,300769.SZ,德方纳米,电力设备,深交所,30186019262.0,0.028,3938063876.0,2026-05-09
sh603026,603026.SH,石大胜华,电力设备,上交所,30186019262.0,0.028,2653743482.0,2026-05-09
sz300118,300118.SZ,东方日升,电力设备,深交所,30186019262.0,0.028,1419398456.0,2026-05-09
sz002249,002249.SZ,大洋电机,电力设备,深交所,30186019262.0,0.028,939043817.0,2026-05-09
sh600737,600737.SH,中粮糖业,农林牧渔,上交所,30186019262.0,0.028,581013156.0,2026-05-09
sh600201,600201.SH,生物股份,农林牧渔,上交所,30186019262.0,0.028,468342699.0,2026-05-09
sh600206,600206.SH,有研新材,电子,上交所,30186019262.0,0.028,3077748789.0,2026-05-09
sz300088,300088.SZ,长信科技,电子,深交所,30186019262.0,0.028,1025536845.0,2026-05-09
sh688519,688519.SH,南亚新材,电子,上交所,30186019262.0,0.028,994595294.0,2026-05-09
sh600171,600171.SH,上海贝岭,电子,上交所,30186019262.0,0.028,471498986.0,2026-05-09
sh601016,601016.SH,节能风电,公用事业,上交所,30186019262.0,0.028,3585932538.0,2026-05-09
sz000875,000875.SZ,电投绿能,公用事业,深交所,30186019262.0,0.028,432607994.0,2026-05-09
sz000534,000534.SZ,万泽股份,医药生物,深交所,30186019262.0,0.028,1236603466.0,2026-05-09
sh601611,601611.SH,中国核建,建筑装饰,上交所,30186019262.0,0.028,568397924.0,2026-05-09
sh688158,688158.SH,优刻得,计算机,上交所,30186019262.0,0.028,2028330741.0,2026-05-09
sh688188,688188.SH,柏楚电子,计算机,上交所,30186019262.0,0.028,615014733.0,2026-05-09
sz000762,000762.SZ,西藏矿业,有色金属,深交所,30186019262.0,0.028,2441847797.0,2026-05-09
sh688102,688102.SH,斯瑞新材,有色金属,上交所,30186019262.0,0.028,1933655450.0,2026-05-09
sh603876,603876.SH,鼎胜新材,有色金属,上交所,30186019262.0,0.028,1785862891.0,2026-05-09
sh600153,600153.SH,建发股份,交通运输,上交所,30186019262.0,0.028,218056580.0,2026-05-09
sh601059,601059.SH,信达证券,非银金融,上交所,30186019262.0,0.028,104408566.0,2026-05-09
sh601990,601990.SH,南京证券,非银金融,上交所,30186019262.0,0.028,96686561.0,2026-05-09
sz002683,002683.SZ,广东宏大,基础化工,深交所,30186019262.0,0.028,898114927.0,2026-05-09
sz300487,300487.SZ,蓝晓科技,基础化工,深交所,30186019262.0,0.028,255707883.0,2026-05-09
sz000738,000738.SZ,航发控制,国防军工,深交所,30186019262.0,0.028,1230652682.0,2026-05-09
sz000733,000733.SZ,振华科技,国防军工,深交所,30186019262.0,0.028,725957591.0,2026-05-09
sh601001,601001.SH,晋控煤业,煤炭,上交所,30186019262.0,0.028,327274786.0,2026-05-09
sz000932,000932.SZ,华菱钢铁,钢铁,深交所,30186019262.0,0.028,240978864.0,2026-05-09
sz002565,002565.SZ,顺灏股份,轻工制造,深交所,30186019262.0,0.028,4565289252.0,2026-05-09
sh600773,600773.SH,西藏城投,房地产,上交所,29107947145.5,0.027,1327008212.0,2026-05-09
sh601106,601106.SH,中国一重,机械设备,上交所,29107947145.5,0.027,577721354.0,2026-05-09
sz000528,000528.SZ,柳工,机械设备,深交所,29107947145.5,0.027,372249365.0,2026-05-09
sh688516,688516.SH,奥特维,电力设备,上交所,29107947145.5,0.027,1210339719.0,2026-05-09
sz000009,000009.SZ,中国宝安,电力设备,深交所,29107947145.5,0.027,257371973.0,2026-05-09
sh600398,600398.SH,海澜之家,纺织服饰,上交所,29107947145.5,0.027,318739046.0,2026-05-09
sz000062,000062.SZ,深圳华强,电子,深交所,29107947145.5,0.027,3261794173.0,2026-05-09
sh688123,688123.SH,聚辰股份,电子,上交所,29107947145.5,0.027,1494673661.0,2026-05-09
sh688322,688322.SH,奥比中光,电子,上交所,29107947145.5,0.027,1286588245.0,2026-05-09
sh688127,688127.SH,蓝特光学,电子,上交所,29107947145.5,0.027,987334513.0,2026-05-09
sh600563,600563.SH,法拉电子,电子,上交所,29107947145.5,0.027,655290188.0,2026-05-09
sz300655,300655.SZ,晶瑞电材,电子,深交所,29107947145.5,0.027,578662967.0,2026-05-09
sh601991,601991.SH,大唐发电,公用事业,上交所,29107947145.5,0.027,6675181861.0,2026-05-09
sh605090,605090.SH,九丰能源,公用事业,上交所,29107947145.5,0.027,934398032.0,2026-05-09
sz002007,002007.SZ,华兰生物,医药生物,深交所,29107947145.5,0.027,167706759.0,2026-05-09
sh600332,600332.SH,白云山,医药生物,上交所,29107947145.5,0.027,151704514.0,2026-05-09
sh601238,601238.SH,广汽集团,汽车,上交所,29107947145.5,0.027,112446461.0,2026-05-09
sz300085,300085.SZ,银之杰,计算机,深交所,29107947145.5,0.027,1444170855.0,2026-05-09
sh688208,688208.SH,道通科技,计算机,上交所,29107947145.5,0.027,316159465.0,2026-05-09
sh600323,600323.SH,瀚蓝环境,环保,上交所,29107947145.5,0.027,208042873.0,2026-05-09
sz000969,000969.SZ,安泰科技,有色金属,深交所,29107947145.5,0.027,684866690.0,2026-05-09
sh603881,603881.SH,数据港,通信,上交所,29107947145.5,0.027,2626185218.0,2026-05-09
sh600704,600704.SH,物产中大,交通运输,上交所,29107947145.5,0.027,229588008.0,2026-05-09
sz002400,002400.SZ,省广集团,传媒,深交所,29107947145.5,0.027,1346580789.0,2026-05-09
sh600901,600901.SH,江苏金租,非银金融,上交所,29107947145.5,0.027,280502349.0,2026-05-09
sz002361,002361.SZ,神剑股份,基础化工,深交所,29107947145.5,0.027,7547372005.0,2026-05-09
sz000973,000973.SZ,佛塑科技,基础化工,深交所,29107947145.5,0.027,1534270526.0,2026-05-09
sz002326,002326.SZ,永太科技,基础化工,深交所,29107947145.5,0.027,1226721590.0,2026-05-09
sh603379,603379.SH,三美股份,基础化工,上交所,29107947145.5,0.027,418051713.0,2026-05-09
sh603260,603260.SH,合盛硅业,基础化工,上交所,29107947145.5,0.027,386394832.0,2026-05-09
sh603225,603225.SH,新凤鸣,基础化工,上交所,29107947145.5,0.027,321157088.0,2026-05-09
sh600316,600316.SH,洪都航空,国防军工,上交所,29107947145.5,0.027,613915721.0,2026-05-09
sh600985,600985.SH,淮北矿业,煤炭,上交所,29107947145.5,0.027,274253967.0,2026-05-09
sh600516,600516.SH,方大炭素,钢铁,上交所,29107947145.5,0.027,323264372.0,2026-05-09
sh600246,600246.SH,万通发展,房地产,上交所,28029875029.0,0.026,1408379226.0,2026-05-09
sz002342,002342.SZ,巨力索具,机械设备,深交所,28029875029.0,0.026,7619006550.0,2026-05-09
sz002759,002759.SZ,天际股份,电力设备,深交所,28029875029.0,0.026,2740037485.0,2026-05-09
sh600110,600110.SH,诺德股份,电力设备,上交所,28029875029.0,0.026,1867905896.0,2026-05-09
sh605196,605196.SH,华通线缆,电力设备,上交所,28029875029.0,0.026,588785655.0,2026-05-09
sz002056,002056.SZ,横店东磁,电力设备,深交所,28029875029.0,0.026,451003919.0,2026-05-09
sz300184,300184.SZ,力源信息,电子,深交所,28029875029.0,0.026,1885747783.0,2026-05-09
sz002841,002841.SZ,视源股份,电子,深交所,28029875029.0,0.026,169519845.0,2026-05-09
sh603392,603392.SH,万泰生物,医药生物,上交所,28029875029.0,0.026,498406029.0,2026-05-09
sh600589,600589.SH,大位科技,计算机,上交所,28029875029.0,0.026,4296947897.0,2026-05-09
sz300253,300253.SZ,卫宁健康,计算机,深交所,28029875029.0,0.026,1922795963.0,2026-05-09
sh688692,688692.SH,达梦数据,计算机,上交所,28029875029.0,0.026,1303186910.0,2026-05-09
sh600583,600583.SH,海油工程,石油石化,上交所,28029875029.0,0.026,236860409.0,2026-05-09
sz000603,000603.SZ,盛达资源,有色金属,深交所,28029875029.0,0.026,1318042306.0,2026-05-09
sz301205,301205.SZ,联特科技,通信,深交所,28029875029.0,0.026,2973063921.0,2026-05-09
sh600986,600986.SH,浙文互联,传媒,上交所,28029875029.0,0.026,1746017172.0,2026-05-09
sz300182,300182.SZ,捷成股份,传媒,深交所,28029875029.0,0.026,998824884.0,2026-05-09
sz002739,002739.SZ,儒意电影,传媒,深交所,28029875029.0,0.026,240362904.0,2026-05-09
sh601456,601456.SH,国联民生,非银金融,上交所,28029875029.0,0.026,190799277.0,2026-05-09
sh603486,603486.SH,科沃斯,家用电器,上交所,28029875029.0,0.026,773678120.0,2026-05-09
sh603688,603688.SH,石英股份,基础化工,上交所,28029875029.0,0.026,2966501492.0,2026-05-09
sz002430,002430.SZ,杭氧股份,基础化工,深交所,28029875029.0,0.026,677363846.0,2026-05-09
sz002545,002545.SZ,东方铁塔,基础化工,深交所,28029875029.0,0.026,619157680.0,2026-05-09
sz002389,002389.SZ,航天彩虹,国防军工,深交所,28029875029.0,0.026,960598409.0,2026-05-09
sh600435,600435.SH,北方导航,国防军工,上交所,28029875029.0,0.026,461413267.0,2026-05-09
sz000708,000708.SZ,中信特钢,钢铁,深交所,28029875029.0,0.026,228387825.0,2026-05-09
sz002611,002611.SZ,东方精工,机械设备,深交所,26951802912.5,0.025,1623761508.0,2026-05-09
sz300776,300776.SZ,帝尔激光,电力设备,深交所,26951802912.5,0.025,1527627958.0,2026-05-09
sh600151,600151.SH,航天机电,电力设备,上交所,26951802912.5,0.025,1085787485.0,2026-05-09
sz300035,300035.SZ,中科电气,电力设备,深交所,26951802912.5,0.025,718897131.0,2026-05-09
sh688303,688303.SH,大全能源,电力设备,上交所,26951802912.5,0.025,422174683.0,2026-05-09
sh600801,600801.SH,华新建材,建筑材料,上交所,26951802912.5,0.025,368682336.0,2026-05-09
sz300903,300903.SZ,科翔股份,电子,深交所,26951802912.5,0.025,2696270728.0,2026-05-09
sh688082,688082.SH,盛美上海,电子,上交所,26951802912.5,0.025,1125533049.0,2026-05-09
sz300623,300623.SZ,捷捷微电,电子,深交所,26951802912.5,0.025,979685518.0,2026-05-09
sz002947,002947.SZ,恒铭达,电子,深交所,26951802912.5,0.025,924439369.0,2026-05-09
sh600863,600863.SH,华能蒙电,公用事业,上交所,26951802912.5,0.025,470143193.0,2026-05-09
sz002617,002617.SZ,露笑科技,公用事业,深交所,26951802912.5,0.025,411764290.0,2026-05-09
sz300199,300199.SZ,翰宇药业,医药生物,深交所,26951802912.5,0.025,759158872.0,2026-05-09
sh688301,688301.SH,奕瑞科技,医药生物,上交所,26951802912.5,0.025,274849506.0,2026-05-09
sz002536,002536.SZ,飞龙股份,汽车,深交所,26951802912.5,0.025,2071180807.0,2026-05-09
sh600170,600170.SH,上海建工,建筑装饰,上交所,26951802912.5,0.025,451035833.0,2026-05-09
sz300469,300469.SZ,信息发展,计算机,深交所,26951802912.5,0.025,804717940.0,2026-05-09
sh688327,688327.SH,云从科技,计算机,上交所,26951802912.5,0.025,564987080.0,2026-05-09
sz002152,002152.SZ,广电运通,计算机,深交所,26951802912.5,0.025,310260897.0,2026-05-09
sh603568,603568.SH,伟明环保,环保,上交所,26951802912.5,0.025,115062800.0,2026-05-09
sz300139,300139.SZ,晓程科技,有色金属,深交所,26951802912.5,0.025,2032309145.0,2026-05-09
sz002171,002171.SZ,楚江新材,有色金属,深交所,26951802912.5,0.025,400785380.0,2026-05-09
sh603236,603236.SH,移远通信,通信,上交所,26951802912.5,0.025,485558673.0,2026-05-09
