代码,展示代码,名称,行业,市场,市值,中证全指权重,最新成交额,纳入日期
sz002230,002230.SZ,科大讯飞,计算机,深交所,204833702135.0,0.19,3248741395.0,2026-05-09
sz002142,002142.SZ,宁波银行,银行,深交所,202677557902.0,0.188,780659795.0,2026-05-09
sz002050,002050.SZ,三花智控,家用电器,深交所,194052980970.0,0.18,14198905867.0,2026-05-09
sh600406,600406.SH,国电南瑞,电力设备,上交所,192974908853.5,0.179,2853813585.0,2026-05-09
sh688521,688521.SH,芯原股份,电子,上交所,191896836737.0,0.178,8230698444.0,2026-05-09
sz300760,300760.SZ,迈瑞医疗,医药生物,深交所,188662620387.5,0.175,1220721297.0,2026-05-09
sh601668,601668.SH,中国建筑,建筑装饰,上交所,187584548271.0,0.174,652001901.0,2026-05-09
sh601225,601225.SH,陕西煤业,煤炭,上交所,187584548271.0,0.174,992024913.0,2026-05-09
sh603799,603799.SH,华友钴业,有色金属,上交所,186506476154.5,0.173,5900093042.0,2026-05-09
sz002460,002460.SZ,赣锋锂业,有色金属,深交所,185428404038.0,0.172,6946711127.0,2026-05-09
sh601012,601012.SH,隆基绿能,电力设备,上交所,184350331921.5,0.171,2621482231.0,2026-05-09
sh600938,600938.SH,中国海油,石油石化,上交所,176803827106.0,0.164,1459769408.0,2026-05-09
sh688498,688498.SH,源杰科技,电子,上交所,174647682873.0,0.162,4659651135.0,2026-05-09
sh600660,600660.SH,福耀玻璃,汽车,上交所,174647682873.0,0.162,1062469213.0,2026-05-09
sz000425,000425.SZ,徐工机械,机械设备,深交所,173569610756.5,0.161,1486902510.0,2026-05-09
sh601728,601728.SH,中国电信,通信,上交所,173569610756.5,0.161,811612604.0,2026-05-09
sh601229,601229.SH,上海银行,银行,上交所,172491538640.0,0.16,431830230.0,2026-05-09
sh600183,600183.SH,生益科技,电子,上交所,172491538640.0,0.16,3125385040.0,2026-05-09
sh601600,601600.SH,中国铝业,有色金属,上交所,171413466523.5,0.159,2284883007.0,2026-05-09
sh600016,600016.SH,民生银行,银行,上交所,170335394407.0,0.158,434321925.0,2026-05-09
sz300014,300014.SZ,亿纬锂能,电力设备,深交所,167101178057.5,0.155,7940825261.0,2026-05-09
sh600522,600522.SH,中天科技,通信,上交所,167101178057.5,0.155,12449499866.0,2026-05-09
sz000100,000100.SZ,TCL科技,电子,深交所,164945033824.5,0.153,2738014701.0,2026-05-09
sh601919,601919.SH,中远海控,交通运输,上交所,164945033824.5,0.153,1274171855.0,2026-05-09
sz002352,002352.SZ,顺丰控股,交通运输,深交所,164945033824.5,0.153,916644880.0,2026-05-09
sh600926,600926.SH,杭州银行,银行,上交所,163866961708.0,0.152,389307237.0,2026-05-09
sz300136,300136.SZ,信维通信,电子,深交所,163866961708.0,0.152,8666786137.0,2026-05-09
sz300857,300857.SZ,协创数据,电子,深交所,162788889591.5,0.151,7148824985.0,2026-05-09
