序号,代码,展示代码,名称,市场,行业,入池类型,入池批次,来源,来源行号,是否启用,更新频率,最新价,涨跌幅,涨跌额,成交量,成交额,最高,最低,今开,昨收,市盈率,量比,换手率,快照生成时间,本池生成时间
11,sz002028,002028.SZ,思源电气,深交所,电网设备,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,11,True,每个交易日盘后；必须早于收盘短线观察报告生成,198.1,-4.15,-8.58,118221,2346694958.7,203.98,195.2,203.98,206.68,70.46,0.88,1.94,2026-05-09 14:33:31,2026-05-09 18:57:39
12,sh600580,600580.SH,卧龙电驱,上交所,电机Ⅱ,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,12,True,每个交易日盘后；必须早于收盘短线观察报告生成,41.06,3.87,1.53,1006370,4140230491.0,42.42,39.14,39.54,39.53,58.1,3.05,6.46,2026-05-09 14:33:31,2026-05-09 18:57:39
13,sh688041,688041.SH,海光信息,上交所,半导体,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,13,True,每个交易日盘后；必须早于收盘短线观察报告生成,323.28,-5.36,-18.32,499706,16242863702.0,338.56,320.01,333.88,341.6,273.4,1.11,2.15,2026-05-09 14:33:31,2026-05-09 18:57:39
14,sh603986,603986.SH,兆易创新,上交所,半导体,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,14,True,每个交易日盘后；必须早于收盘短线观察报告生成,334.1,-4.59,-16.06,440833,14821436654.0,343.3,331.8,341.0,350.16,40.08,0.95,6.6,2026-05-09 14:33:31,2026-05-09 18:57:39
15,sz300724,300724.SZ,捷佳伟创,深交所,光伏设备,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,15,True,每个交易日盘后；必须早于收盘短线观察报告生成,93.89,0.38,0.36,130607,1217884739.9,94.2,92.27,92.8,93.53,30.25,0.76,4.54,2026-05-09 14:33:31,2026-05-09 18:57:39
16,sh688235,688235.SH,百济神州,上交所,化学制药,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,16,True,每个交易日盘后；必须早于收盘短线观察报告生成,247.5,-2.71,-6.9,40597,1016486128.0,257.4,247.0,254.4,254.4,59.32,1.06,3.53,2026-05-09 14:33:31,2026-05-09 18:57:39
17,sz300308,300308.SZ,中际旭创,深交所,通信设备,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,17,True,每个交易日盘后；必须早于收盘短线观察报告生成,886.0,0.97,8.53,197641,17406542424.54,898.95,861.56,864.95,877.47,43.01,0.73,1.78,2026-05-09 14:33:31,2026-05-09 18:57:39
18,sh600198,600198.SH,大唐电信,上交所,通信设备,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,18,True,每个交易日盘后；必须早于收盘短线观察报告生成,8.84,1.73,0.15,263087,229852512.0,8.85,8.55,8.68,8.69,-44.03,0.81,2.02,2026-05-09 14:33:31,2026-05-09 18:57:39
19,sz002281,002281.SZ,光迅科技,深交所,通信设备,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,19,True,每个交易日盘后；必须早于收盘短线观察报告生成,180.72,10.0,16.43,821824,13761705212.05,180.72,158.64,160.0,164.29,151.9,1.21,10.54,2026-05-09 14:33:31,2026-05-09 18:57:39
20,sh688047,688047.SH,龙芯中科,上交所,半导体,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,20,True,每个交易日盘后；必须早于收盘短线观察报告生成,173.82,-5.25,-9.64,144161,2527956461.0,179.8,172.89,179.1,183.46,-152.89,0.84,3.6,2026-05-09 14:33:31,2026-05-09 18:57:39
21,sh688008,688008.SH,澜起科技,上交所,半导体,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,21,True,每个交易日盘后；必须早于收盘短线观察报告生成,210.27,0.17,0.36,623845,13002789032.0,212.19,203.68,205.0,209.91,75.82,0.82,5.44,2026-05-09 14:33:31,2026-05-09 18:57:39
22,sh688256,688256.SH,DR寒武纪,上交所,半导体,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,22,True,每个交易日盘后；必须早于收盘短线观察报告生成,1182.53,-5.6,-70.15,191024,22579188932.0,1220.0,1158.01,1217.03,1252.68,183.32,1.46,3.04,2026-05-09 14:33:31,2026-05-09 18:57:39
23,sh688498,688498.SH,源杰科技,上交所,半导体,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,23,True,每个交易日盘后；必须早于收盘短线观察报告生成,1575.0,-3.31,-54.0,29364,4659651135.0,1625.0,1567.82,1595.52,1629.0,188.6,0.78,3.46,2026-05-09 14:33:31,2026-05-09 18:57:39
24,sh688521,688521.SH,芯原股份,上交所,半导体,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,24,True,每个交易日盘后；必须早于收盘短线观察报告生成,262.0,-4.73,-13.0,309677,8230698444.0,273.97,260.16,271.0,275.0,-101.07,0.92,5.89,2026-05-09 14:33:31,2026-05-09 18:57:39
25,sh688525,688525.SH,佰维存储,上交所,半导体,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,25,True,每个交易日盘后；必须早于收盘短线观察报告生成,290.45,-3.13,-9.4,297696,8646849785.0,294.37,287.08,290.0,299.85,11.79,0.77,6.32,2026-05-09 14:33:31,2026-05-09 18:57:39
26,sz300782,300782.SZ,卓胜微,深交所,半导体,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,26,True,每个交易日盘后；必须早于收盘短线观察报告生成,103.8,-2.59,-2.76,208923,2186234108.47,106.49,102.23,104.5,106.56,-103.39,0.85,4.66,2026-05-09 14:33:31,2026-05-09 18:57:39
27,sh600519,600519.SH,贵州茅台,上交所,白酒Ⅱ,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,27,True,每个交易日盘后；必须早于收盘短线观察报告生成,1372.99,0.14,1.94,33369,4582855939.0,1382.77,1370.0,1371.66,1371.05,15.78,0.8,0.27,2026-05-09 14:33:31,2026-05-09 18:57:39
28,sz300750,300750.SZ,宁德时代,深交所,电池,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,28,True,每个交易日盘后；必须早于收盘短线观察报告生成,437.0,-3.24,-14.64,366049,16224287222.18,455.5,436.2,449.0,451.64,24.37,0.97,0.86,2026-05-09 14:33:31,2026-05-09 18:57:39
29,sh688802,688802.SH,沐曦股份-U,上交所,半导体,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,29,True,每个交易日盘后；必须早于收盘短线观察报告生成,784.0,-7.0,-58.97,33132,2637297409.0,825.0,783.47,825.0,842.97,-793.38,0.96,18.27,2026-05-09 14:33:31,2026-05-09 18:57:39
30,sh688795,688795.SH,摩尔线程-U,上交所,半导体,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,30,True,每个交易日盘后；必须早于收盘短线观察报告生成,703.0,-5.38,-39.98,38604,2747536034.0,727.96,702.88,727.96,742.98,2813.68,0.78,13.14,2026-05-09 14:33:31,2026-05-09 18:57:39
31,sh601138,601138.SH,工业富联,上交所,消费电子,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,31,True,每个交易日盘后；必须早于收盘短线观察报告生成,63.28,-1.4,-0.9,1620171,10254090368.0,64.2,62.77,63.0,64.18,29.63,0.63,0.82,2026-05-09 14:33:31,2026-05-09 18:57:39
32,sz000977,000977.SZ,浪潮信息,深交所,计算机设备,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,32,True,每个交易日盘后；必须早于收盘短线观察报告生成,76.48,4.42,3.24,1251843,9551252051.65,79.49,71.1,72.13,73.24,46.42,1.58,8.53,2026-05-09 14:33:31,2026-05-09 18:57:39
33,sz002371,002371.SZ,北方华创,深交所,半导体,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,33,True,每个交易日盘后；必须早于收盘短线观察报告生成,540.79,-2.06,-11.35,82457,4475463103.86,554.8,537.2,543.0,552.14,59.95,0.63,1.14,2026-05-09 14:33:31,2026-05-09 18:57:39
34,sh688012,688012.SH,中微公司,上交所,半导体,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,34,True,每个交易日盘后；必须早于收盘短线观察报告生成,370.0,-3.8,-14.6,175410,6554934291.0,386.76,366.64,380.0,384.6,62.32,0.92,2.8,2026-05-09 14:33:31,2026-05-09 18:57:39
35,sh688082,688082.SH,盛美上海,上交所,半导体,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,35,True,每个交易日盘后；必须早于收盘短线观察报告生成,160.21,-0.09,-0.14,70593,1125533049.0,164.0,155.68,158.73,160.35,185.34,1.02,1.48,2026-05-09 14:33:31,2026-05-09 18:57:39
36,sh688981,688981.SH,中芯国际,上交所,半导体,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,36,True,每个交易日盘后；必须早于收盘短线观察报告生成,120.31,-4.01,-5.03,708618,8595731864.0,123.19,120.05,122.9,125.34,191.25,0.83,3.54,2026-05-09 14:33:31,2026-05-09 18:57:39
37,sh600584,600584.SH,长电科技,上交所,半导体,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,37,True,每个交易日盘后；必须早于收盘短线观察报告生成,50.75,4.08,1.99,1686549,8239048098.0,51.59,47.1,48.0,48.76,78.21,1.53,9.43,2026-05-09 14:33:31,2026-05-09 18:57:39
38,sz002156,002156.SZ,通富微电,深交所,半导体,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,38,True,每个交易日盘后；必须早于收盘短线观察报告生成,57.16,-3.25,-1.92,1623790,9293491886.86,58.6,56.39,58.31,59.08,65.9,1.27,10.7,2026-05-09 14:33:31,2026-05-09 18:57:39
39,sh688234,688234.SH,天岳先进,上交所,半导体,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,39,True,每个交易日盘后；必须早于收盘短线观察报告生成,108.66,-2.21,-2.46,128837,1408689553.0,113.88,107.61,111.0,111.12,-217.56,0.99,3.0,2026-05-09 14:33:31,2026-05-09 18:57:39
40,sz002594,002594.SZ,比亚迪,深交所,乘用车,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,40,True,每个交易日盘后；必须早于收盘短线观察报告生成,100.02,-0.44,-0.44,382158,3823821997.57,101.0,99.8,100.47,100.46,55.81,0.6,1.1,2026-05-09 14:33:31,2026-05-09 18:57:39
41,sh601012,601012.SH,隆基绿能,上交所,光伏设备,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,41,True,每个交易日盘后；必须早于收盘短线观察报告生成,16.36,-1.15,-0.19,1602816,2621482231.0,16.55,16.22,16.54,16.55,-16.14,1.04,2.12,2026-05-09 14:33:31,2026-05-09 18:57:39
42,sz300274,300274.SZ,阳光电源,深交所,光伏设备,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,42,True,每个交易日盘后；必须早于收盘短线观察报告生成,139.85,0.25,0.35,615447,8680103373.28,142.99,138.0,138.06,139.5,31.64,0.72,3.87,2026-05-09 14:33:31,2026-05-09 18:57:39
43,sz300014,300014.SZ,亿纬锂能,深交所,电池,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,43,True,每个交易日盘后；必须早于收盘短线观察报告生成,69.9,-2.66,-1.91,1107360,7940825261.35,73.99,69.88,71.4,71.81,26.26,1.17,5.24,2026-05-09 14:33:31,2026-05-09 18:57:39
44,sh600438,600438.SH,通威股份,上交所,光伏设备,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,44,True,每个交易日盘后；必须早于收盘短线观察报告生成,17.22,-1.54,-0.27,611256,1051610430.0,17.46,17.06,17.46,17.49,-7.93,1.02,1.36,2026-05-09 14:33:31,2026-05-09 18:57:39
45,sh688599,688599.SH,天合光能,上交所,光伏设备,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,45,True,每个交易日盘后；必须早于收盘短线观察报告生成,17.8,-0.45,-0.08,444547,790739751.0,18.06,17.54,17.75,17.88,-36.83,0.73,1.9,2026-05-09 14:33:31,2026-05-09 18:57:39
46,sz002460,002460.SZ,赣锋锂业,深交所,能源金属,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,46,True,每个交易日盘后；必须早于收盘短线观察报告生成,84.77,-3.67,-3.23,803053,6946711127.16,89.95,84.68,87.95,88.0,24.18,0.96,6.63,2026-05-09 14:33:31,2026-05-09 18:57:39
47,sh600276,600276.SH,恒瑞医药,上交所,化学制药,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,47,True,每个交易日盘后；必须早于收盘短线观察报告生成,52.8,-1.64,-0.88,802415,4253912511.0,53.92,52.68,53.88,53.68,38.39,1.15,1.26,2026-05-09 14:33:31,2026-05-09 18:57:39
48,sz300760,300760.SZ,迈瑞医疗,深交所,医疗器械,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,48,True,每个交易日盘后；必须早于收盘短线观察报告生成,170.61,0.06,0.11,71134,1220721296.71,172.67,170.32,170.4,170.5,22.2,0.55,0.59,2026-05-09 14:33:31,2026-05-09 18:57:39
49,sz300015,300015.SZ,爱尔眼科,深交所,医疗服务,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,49,True,每个交易日盘后；必须早于收盘短线观察报告生成,10.55,0.09,0.01,678209,718260943.69,10.73,10.49,10.51,10.54,20.83,0.59,0.85,2026-05-09 14:33:31,2026-05-09 18:57:39
50,sz000538,000538.SZ,云南白药,深交所,中药Ⅱ,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,50,True,每个交易日盘后；必须早于收盘短线观察报告生成,52.62,0.04,0.02,71386,375449084.06,52.67,52.53,52.61,52.6,11.52,0.66,0.4,2026-05-09 14:33:31,2026-05-09 18:57:39
51,sh600436,600436.SH,片仔癀,上交所,中药Ⅱ,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,51,True,每个交易日盘后；必须早于收盘短线观察报告生成,141.18,-0.01,-0.01,29467,416236195.0,141.95,141.0,141.19,141.19,28.64,0.74,0.49,2026-05-09 14:33:31,2026-05-09 18:57:39
52,sz000858,000858.SZ,五 粮 液,深交所,白酒Ⅱ,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,52,True,每个交易日盘后；必须早于收盘短线观察报告生成,92.13,-0.51,-0.47,259641,2396026817.67,92.8,91.66,92.6,92.6,11.09,0.61,0.67,2026-05-09 14:33:31,2026-05-09 18:57:39
53,sz000568,000568.SZ,泸州老窖,深交所,白酒Ⅱ,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,53,True,每个交易日盘后；必须早于收盘短线观察报告生成,97.53,-1.53,-1.52,68555,672134635.87,99.02,97.5,98.99,99.05,9.68,0.59,0.47,2026-05-09 14:33:31,2026-05-09 18:57:39
54,sz000333,000333.SZ,美的集团,深交所,白色家电,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,54,True,每个交易日盘后；必须早于收盘短线观察报告生成,80.4,0.74,0.59,282423,2273797150.16,81.09,79.32,79.65,79.81,12.06,0.82,0.41,2026-05-09 14:33:31,2026-05-09 18:57:39
55,sh600887,600887.SH,伊利股份,上交所,饮料乳品,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,55,True,每个交易日盘后；必须早于收盘短线观察报告生成,27.52,-0.04,-0.01,569715,1570843720.0,27.74,27.39,27.53,27.53,8.07,0.48,0.91,2026-05-09 14:33:31,2026-05-09 18:57:39
56,sh600900,600900.SH,长江电力,上交所,电力,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,56,True,每个交易日盘后；必须早于收盘短线观察报告生成,27.0,-0.18,-0.05,804423,2173718079.0,27.16,26.98,27.06,27.05,24.43,0.71,0.33,2026-05-09 14:33:31,2026-05-09 18:57:39
57,sh601318,601318.SH,中国平安,上交所,保险Ⅱ,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,57,True,每个交易日盘后；必须早于收盘短线观察报告生成,60.06,0.03,0.02,732049,4392260153.0,60.26,59.74,59.9,60.04,10.87,0.66,0.69,2026-05-09 14:33:31,2026-05-09 18:57:39
58,sh600036,600036.SH,招商银行,上交所,银行Ⅱ,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,58,True,每个交易日盘后；必须早于收盘短线观察报告生成,37.94,-0.03,-0.01,869539,3303687174.0,38.18,37.9,38.03,37.95,6.32,0.66,0.42,2026-05-09 14:33:31,2026-05-09 18:57:39
59,sz300059,300059.SZ,东方财富,深交所,证券Ⅱ,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,59,True,每个交易日盘后；必须早于收盘短线观察报告生成,20.49,-1.16,-0.24,2320830,4763551398.31,20.74,20.39,20.6,20.73,21.66,0.67,1.74,2026-05-09 14:33:31,2026-05-09 18:57:39
60,sh601899,601899.SH,紫金矿业,上交所,工业金属,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,60,True,每个交易日盘后；必须早于收盘短线观察报告生成,34.8,0.99,0.34,3012482,10371098900.0,35.0,33.84,34.02,34.46,11.52,1.01,1.46,2026-05-09 14:33:31,2026-05-09 18:57:39
61,sh600111,600111.SH,北方稀土,上交所,小金属,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,61,True,每个交易日盘后；必须早于收盘短线观察报告生成,54.75,-1.01,-0.56,1414805,7708741272.0,55.35,53.89,54.8,55.31,53.92,0.76,3.91,2026-05-09 14:33:31,2026-05-09 18:57:39
62,sz002466,002466.SZ,天齐锂业,深交所,能源金属,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,62,True,每个交易日盘后；必须早于收盘短线观察报告生成,76.05,-3.81,-3.01,1020733,7929999299.19,80.83,76.0,78.3,79.06,17.35,0.9,6.92,2026-05-09 14:33:31,2026-05-09 18:57:39
63,sz000792,000792.SZ,盐湖股份,深交所,农化制品,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,63,True,每个交易日盘后；必须早于收盘短线观察报告生成,38.05,-2.24,-0.87,1327274,5131618432.32,39.99,38.01,39.0,38.92,16.63,0.84,2.51,2026-05-09 14:33:31,2026-05-09 18:57:39
64,sh600188,600188.SH,兖矿能源,上交所,煤炭开采,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,64,True,每个交易日盘后；必须早于收盘短线观察报告生成,21.44,0.0,0.0,466777,1000297286.0,21.8,21.1,21.55,21.44,13.6,0.67,0.78,2026-05-09 14:33:31,2026-05-09 18:57:39
65,sh600760,600760.SH,中航沈飞,上交所,航空装备Ⅱ,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,65,True,每个交易日盘后；必须早于收盘短线观察报告生成,49.7,3.54,1.7,401736,1980170483.0,49.82,48.45,48.55,48.0,213.54,2.15,1.42,2026-05-09 14:33:31,2026-05-09 18:57:39
66,sh600501,600501.SH,航天晨光,上交所,专用设备,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,66,True,每个交易日盘后；必须早于收盘短线观察报告生成,24.92,4.36,1.04,172740,422624027.0,24.98,23.6,23.86,23.88,-43.01,2.2,4.04,2026-05-09 14:33:31,2026-05-09 18:57:39
67,sh600585,600585.SH,海螺水泥,上交所,水泥,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,67,True,每个交易日盘后；必须早于收盘短线观察报告生成,21.04,-0.8,-0.17,354063,745109901.0,21.21,20.96,21.21,21.21,18.99,0.76,0.89,2026-05-09 14:33:31,2026-05-09 18:57:39
68,sh600048,600048.SH,保利发展,上交所,房地产开发,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,68,True,每个交易日盘后；必须早于收盘短线观察报告生成,6.43,0.47,0.03,1354492,868601267.0,6.5,6.33,6.38,6.4,21.01,0.79,1.13,2026-05-09 14:33:31,2026-05-09 18:57:39
69,sz000002,000002.SZ,万  科Ａ,深交所,房地产开发,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,69,True,每个交易日盘后；必须早于收盘短线观察报告生成,4.0,0.5,0.02,1109767,443314476.0,4.03,3.95,3.97,3.98,-2.0,0.79,1.14,2026-05-09 14:33:31,2026-05-09 18:57:39
70,sh688111,688111.SH,金山办公,上交所,软件开发,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,70,True,每个交易日盘后；必须早于收盘短线观察报告生成,271.26,-1.07,-2.93,144868,4005186805.0,282.18,271.0,276.0,274.19,14.31,1.44,3.13,2026-05-09 14:33:31,2026-05-09 18:57:39
71,sz002230,002230.SZ,科大讯飞,深交所,软件开发,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,71,True,每个交易日盘后；必须早于收盘短线观察报告生成,49.91,-0.14,-0.07,647413,3248741394.74,50.88,49.62,50.5,49.98,-176.59,1.32,2.96,2026-05-09 14:33:31,2026-05-09 18:57:39
72,sh600309,600309.SH,万华化学,上交所,化学制品,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,72,True,每个交易日盘后；必须早于收盘短线观察报告生成,83.6,-1.42,-1.2,325571,2734113727.0,85.38,83.41,84.8,84.8,17.6,0.88,1.04,2026-05-09 14:33:31,2026-05-09 18:57:39
73,sh600426,600426.SH,华鲁恒升,上交所,农化制品,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,73,True,每个交易日盘后；必须早于收盘短线观察报告生成,35.51,-1.69,-0.61,200297,714724881.0,36.4,35.4,36.13,36.12,16.82,0.66,0.95,2026-05-09 14:33:31,2026-05-09 18:57:39
