序号,代码,展示代码,名称,市场,行业,入池类型,入池批次,来源,来源行号,是否启用,更新频率,最新价,涨跌幅,涨跌额,成交量,成交额,最高,最低,今开,昨收,市盈率,量比,换手率,快照生成时间,本池生成时间
1,sz000906,000906.SZ,浙商中拓,深交所,物流,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,1,True,每个交易日盘后；必须早于收盘短线观察报告生成,6.71,2.13,0.14,264082,176722914.6,6.8,6.52,6.55,6.57,6.37,0.85,3.77,2026-05-09 14:33:31,2026-05-09 18:57:39
2,sz300641,300641.SZ,正丹股份,深交所,化学制品,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,2,True,每个交易日盘后；必须早于收盘短线观察报告生成,17.8,-0.22,-0.04,73571,131064450.89,17.95,17.7,17.84,17.84,34.81,0.56,1.4,2026-05-09 14:33:31,2026-05-09 18:57:39
3,sz300502,300502.SZ,新易盛,深交所,通信设备,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,3,True,每个交易日盘后；必须早于收盘短线观察报告生成,551.67,-2.1,-11.83,298005,16488159417.21,560.99,546.47,553.0,563.5,49.31,0.79,3.37,2026-05-09 14:33:31,2026-05-09 18:57:39
4,sz000657,000657.SZ,中钨高新,深交所,小金属,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,4,True,每个交易日盘后；必须早于收盘短线观察报告生成,60.47,-4.3,-2.72,1072527,6522225956.58,62.79,59.7,61.8,63.19,37.4,1.02,7.38,2026-05-09 14:33:31,2026-05-09 18:57:39
5,sz300871,300871.SZ,回盛生物,深交所,动物保健Ⅱ,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,5,True,每个交易日盘后；必须早于收盘短线观察报告生成,25.71,-2.65,-0.7,86044,222141974.5,26.54,25.52,26.32,26.41,16.7,0.92,4.26,2026-05-09 14:33:31,2026-05-09 18:57:39
6,sh603259,603259.SH,药明康德,上交所,医疗服务,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,6,True,每个交易日盘后；必须早于收盘短线观察报告生成,106.8,-4.03,-4.48,455336,4896194844.0,110.2,106.7,110.01,111.28,17.13,0.71,1.84,2026-05-09 14:33:31,2026-05-09 18:57:39
7,sh600326,600326.SH,西藏天路,上交所,水泥,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,7,True,每个交易日盘后；必须早于收盘短线观察报告生成,9.58,1.05,0.1,304663,292131986.0,9.72,9.41,9.45,9.48,-87.84,1.06,2.24,2026-05-09 14:33:31,2026-05-09 18:57:39
8,sh603501,603501.SH,豪威集团,上交所,半导体,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,8,True,每个交易日盘后；必须早于收盘短线观察报告生成,99.18,-1.08,-1.08,223177,2207834232.0,99.6,98.31,99.31,100.26,62.17,0.54,1.84,2026-05-09 14:33:31,2026-05-09 18:57:39
9,sz002812,002812.SZ,恩捷股份,深交所,电池,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,9,True,每个交易日盘后；必须早于收盘短线观察报告生成,81.27,-4.74,-4.04,476477,3921899233.55,85.57,80.72,83.78,85.31,76.66,0.92,5.79,2026-05-09 14:33:31,2026-05-09 18:57:39
10,sz002049,002049.SZ,紫光国微,深交所,半导体,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,10,True,每个交易日盘后；必须早于收盘短线观察报告生成,77.36,-2.09,-1.65,366979,2823869429.97,78.05,76.09,78.05,79.01,49.15,0.98,4.32,2026-05-09 14:33:31,2026-05-09 18:57:39
