代码,展示代码,名称,行业,中信细分行业,市场,板块,最新成交额,中证全指权重,概念数量,来源
sz300763,300763.SZ,锦浪科技,电气设备,光伏逆变器,深交所,,1365361722.0,0.039,4,2000只样本池基础保留
sh603920,603920.SH,世运电路,元器件,PCB,上交所,,2467335107.0,0.039,25,2000只样本池基础保留
sh688052,688052.SH,纳芯微,半导体,集成电路设计,上交所,,645237342.0,0.039,11,2000只样本池基础保留
sz000155,000155.SZ,川能动力,新型电力,风力发电,深交所,,1473721231.0,0.039,8,2000只样本池基础保留
sh600023,600023.SH,浙能电力,火力发电,火力发电,上交所,,374336201.0,0.039,6,2000只样本池基础保留
sh688331,688331.SH,荣昌生物,生物制药,抗体,上交所,,1230605065.0,0.039,3,2000只样本池基础保留
sh688506,688506.SH,百利天恒,化学制药,化学制剂,上交所,,510912026.0,0.039,1,2000只样本池基础保留
sh688568,688568.SH,中科星图,软件服务,云平台服务,上交所,,1976973019.0,0.039,21,2000只样本池基础保留
sz002192,002192.SZ,融捷股份,小金属,锂,深交所,,4480914008.0,0.039,5,2000只样本池基础保留
sz002716,002716.SZ,湖南白银,小金属,白银,深交所,,2188543636.0,0.039,2,2000只样本池基础保留
sh601212,601212.SH,白银有色,铜,铜,上交所,,1180500162.0,0.039,5,2000只样本池基础保留
sz300748,300748.SZ,金力永磁,矿物制品,磁性材料,深交所,,1144360956.0,0.039,10,2000只样本池基础保留
sz002379,002379.SZ,宏桥控股,铝,铝,深交所,,650579754.0,0.039,0,2000只样本池基础保留
sz300383,300383.SZ,光环新网,软件服务,云基础设施服务,深交所,,1721350210.0,0.039,15,2000只样本池基础保留
sh601319,601319.SH,中国人保,保险,保险,上交所,,521812059.0,0.039,2,2000只样本池基础保留
sh603345,603345.SH,安井食品,食品,预加工食品,上交所,,713478339.0,0.039,3,2000只样本池基础保留
sh600298,600298.SH,安琪酵母,食品,调味品,上交所,,337248495.0,0.039,5,2000只样本池基础保留
sh600600,600600.SH,青岛啤酒,啤酒,啤酒,上交所,,323278819.0,0.039,2,2000只样本池基础保留
sh688627,688627.SH,精智达,专用机械,其他专用设备,上交所,,1294626391.0,0.038,7,2000只样本池基础保留
sh600499,600499.SH,科达制造,专用机械,其他专用设备,上交所,,739625207.0,0.038,11,2000只样本池基础保留
sz002335,002335.SZ,科华数据,电气设备,其他发电设备,深交所,,3290386097.0,0.038,25,2000只样本池基础保留
sz300568,300568.SZ,星源材质,化工原料,电池化学品,深交所,,2161752860.0,0.038,11,2000只样本池基础保留
sz300870,300870.SZ,欧陆通,电气设备,其他发电设备,深交所,,1313866505.0,0.038,11,2000只样本池基础保留
sh600577,600577.SH,精达股份,电气设备,线缆部件及其他,上交所,,805038966.0,0.038,13,2000只样本池基础保留
sh605358,605358.SH,立昂微,半导体,半导体材料,上交所,,2957602051.0,0.038,15,2000只样本池基础保留
sh603179,603179.SH,新泉股份,汽车配件,汽车电子电气系统,上交所,,3665310674.0,0.038,3,2000只样本池基础保留
sh688343,688343.SH,云天励飞,软件服务,行业应用软件,上交所,,1325380664.0,0.038,26,2000只样本池基础保留
sh601677,601677.SH,明泰铝业,铝,铝,上交所,,625467046.0,0.038,9,2000只样本池基础保留
sz003031,003031.SZ,中瓷电子,元器件,其他电子,深交所,,1997209085.0,0.038,14,2000只样本池基础保留
sh688375,688375.SH,国博电子,元器件,军工电子,上交所,,1201180665.0,0.038,12,2000只样本池基础保留
sz300972,300972.SZ,万辰集团,食品,零食,深交所,,364716059.0,0.037,3,2000只样本池基础保留
sz002459,002459.SZ,晶澳科技,电气设备,光伏电池组件,深交所,,900089662.0,0.037,12,2000只样本池基础保留
sh688472,688472.SH,阿特斯,电气设备,光伏电池组件,上交所,,873269511.0,0.037,9,2000只样本池基础保留
sz300001,300001.SZ,特锐德,电气设备,输变电设备,深交所,,692079496.0,0.037,24,2000只样本池基础保留
sh688234,688234.SH,天岳先进,半导体,半导体材料,上交所,,1408689553.0,0.037,6,2000只样本池基础保留
sh688180,688180.SH,君实生物,生物制药,抗体,上交所,,556176596.0,0.037,5,2000只样本池基础保留
sz000559,000559.SZ,万向钱潮,汽车配件,底盘与发动机系统,深交所,,3128763493.0,0.037,14,2000只样本池基础保留
sh600039,600039.SH,四川路桥,建筑工程,基建工程,上交所,,530109940.0,0.037,8,2000只样本池基础保留
sz000034,000034.SZ,神州数码,软件服务,其他云服务,深交所,,1515576086.0,0.037,31,2000只样本池基础保留
sz002405,002405.SZ,四维图新,软件服务,行业应用软件,深交所,,446736888.0,0.037,33,2000只样本池基础保留
sz002149,002149.SZ,西部材料,小金属,钛,深交所,,6866933024.0,0.037,11,2000只样本池基础保留
sh600259,600259.SH,中稀有色,小金属,稀土,上交所,,1268041139.0,0.037,4,2000只样本池基础保留
sh600595,600595.SH,中孚实业,铝,铝,上交所,,488854982.0,0.037,3,2000只样本池基础保留
sz300570,300570.SZ,太辰光,通信设备,网络接配及塔设,深交所,,6674421967.0,0.037,6,2000只样本池基础保留
sz300251,300251.SZ,光线传媒,影视音像,影视制作,深交所,,1030312443.0,0.037,9,2000只样本池基础保留
sz300409,300409.SZ,道氏技术,电气设备,电池化学品,深交所,,1290233437.0,0.036,20,2000只样本池基础保留
sh603256,603256.SH,宏和科技,玻璃,玻纤制造,上交所,,3505276009.0,0.036,6,2000只样本池基础保留
sz000592,000592.SZ,平潭发展,林业,林业,深交所,,2933287178.0,0.036,8,2000只样本池基础保留
sz300102,300102.SZ,乾照光电,半导体,LED,深交所,,2893195957.0,0.036,13,2000只样本池基础保留
sz300236,300236.SZ,上海新阳,半导体,半导体材料,深交所,,1353750255.0,0.036,5,2000只样本池基础保留
sz300142,300142.SZ,沃森生物,生物制药,疫苗,深交所,,1045269383.0,0.036,3,2000只样本池基础保留
sh603087,603087.SH,甘李药业,生物制药,基因药物,上交所,,275207071.0,0.036,3,2000只样本池基础保留
sz001267,001267.SZ,汇绿生态,通信设备,网络接配及塔设,深交所,,3465528735.0,0.036,6,2000只样本池基础保留
sh601618,601618.SH,中国中冶,建筑工程,其他专业工程,上交所,,275286553.0,0.036,11,2000只样本池基础保留
sh600536,600536.SH,中国软件,软件服务,行业应用软件,上交所,,1461886850.0,0.036,17,2000只样本池基础保留
sz000060,000060.SZ,中金岭南,铅锌,铅锌,深交所,,3436378637.0,0.036,5,2000只样本池基础保留
sz300364,300364.SZ,中文在线,出版业,其他出版,深交所,,2790986776.0,0.036,26,2000只样本池基础保留
sh601696,601696.SH,中银证券,证券,证券,上交所,,354511315.0,0.036,0,2000只样本池基础保留
sh600515,600515.SH,海南机场,机场,机场,上交所,,543517959.0,0.035,6,2000只样本池基础保留
sh601717,601717.SH,中创智领,专用机械,能源及重型设备,上交所,,305315479.0,0.035,10,2000只样本池基础保留
sz000636,000636.SZ,风华高科,元器件,被动元件,深交所,,2312385115.0,0.035,18,2000只样本池基础保留
sh603005,603005.SH,晶方科技,半导体,半导体封测,上交所,,1181753489.0,0.035,13,2000只样本池基础保留
sh688617,688617.SH,惠泰医疗,医疗保健,医疗耗材,上交所,,273403493.0,0.035,1,2000只样本池基础保留
sz002085,002085.SZ,万丰奥威,汽车配件,轮胎轮毂,深交所,,467505661.0,0.035,16,2000只样本池基础保留
sh601777,601777.SH,千里科技,摩托车,摩托车,上交所,,408063082.0,0.035,8,2000只样本池基础保留
sz300170,300170.SZ,汉得信息,软件服务,云平台服务,深交所,,3030901496.0,0.035,32,2000只样本池基础保留
sh603516,603516.SH,淳中科技,IT设备,其他IT设备,上交所,,1172287695.0,0.035,11,2000只样本池基础保留
sz002378,002378.SZ,章源钨业,小金属,钨钼,深交所,,2538595148.0,0.035,3,2000只样本池基础保留
sh600637,600637.SH,东方明珠,影视音像,广播电视,上交所,,816324931.0,0.035,13,2000只样本池基础保留
sz002624,002624.SZ,完美世界,互联网,游戏,深交所,,672408448.0,0.035,13,2000只样本池基础保留
sh603369,603369.SH,今世缘,白酒,白酒,上交所,,490668651.0,0.035,1,2000只样本池基础保留
sz002318,002318.SZ,久立特材,特种钢,特钢,深交所,,367386058.0,0.035,4,2000只样本池基础保留
sh603063,603063.SH,禾望电气,电气设备,风电零部件,上交所,,1781113567.0,0.034,6,2000只样本池基础保留
sz002506,002506.SZ,协鑫集成,电气设备,光伏电池组件,深交所,,1410906664.0,0.034,13,2000只样本池基础保留
sh603806,603806.SH,福斯特,塑料,光伏辅材,上交所,,1153388844.0,0.034,11,2000只样本池基础保留
sh600732,600732.SH,爱旭股份,电气设备,光伏电池组件,上交所,,521497469.0,0.034,7,2000只样本池基础保留
sz000876,000876.SZ,新 希 望,饲料,畜禽饲料,深交所,,209024222.0,0.034,4,2000只样本池基础保留
sh688372,688372.SH,伟测科技,半导体,半导体封测,上交所,,1681310765.0,0.034,6,2000只样本池基础保留
sz002484,002484.SZ,江海股份,元器件,被动元件,深交所,,1394025203.0,0.034,8,2000只样本池基础保留
sh688608,688608.SH,恒玄科技,半导体,集成电路设计,上交所,,816868134.0,0.034,8,2000只样本池基础保留
sh688409,688409.SH,富创精密,半导体,半导体设备,上交所,,734978583.0,0.034,3,2000只样本池基础保留
sh600027,600027.SH,华电国际,火力发电,火力发电,上交所,,602447922.0,0.034,7,2000只样本池基础保留
sz002653,002653.SZ,海思科,化学制药,化学制剂,深交所,,431813885.0,0.034,3,2000只样本池基础保留
sh603929,603929.SH,亚翔集成,装修装饰,其他专业工程,上交所,,800586860.0,0.034,3,2000只样本池基础保留
sz300738,300738.SZ,奥飞数据,软件服务,云基础设施服务,深交所,,1909849100.0,0.034,20,2000只样本池基础保留
sh600060,600060.SH,海信视像,家用电器,电视,上交所,,260225736.0,0.034,17,2000只样本池基础保留
sz002025,002025.SZ,航天电器,元器件,军工电子,深交所,,1724237975.0,0.034,17,2000只样本池基础保留
sz302132,302132.SZ,中航成飞,航空,军工电子,深交所,,954170479.0,0.034,12,2000只样本池基础保留
sz000983,000983.SZ,山西焦煤,煤炭开采,炼焦煤,深交所,,473033571.0,0.034,1,2000只样本池基础保留
sh600208,600208.SH,衢州发展,全国地产,住宅开发,上交所,,2652628516.0,0.033,12,2000只样本池基础保留
sz000564,000564.SZ,供销大集,百货,百货,深交所,,464099483.0,0.033,12,2000只样本池基础保留
sh688333,688333.SH,铂力特,机械基件,其他通用设备,上交所,,1100674907.0,0.033,13,2000只样本池基础保留
sz301377,301377.SZ,鼎泰高科,机械基件,金属制品,深交所,,982921930.0,0.033,6,2000只样本池基础保留
sh603699,603699.SH,纽威股份,机械基件,机械基础件,上交所,,665519733.0,0.033,7,2000只样本池基础保留
sz301217,301217.SZ,铜冠铜箔,元器件,铜,深交所,,3997675672.0,0.033,6,2000只样本池基础保留
sh603629,603629.SH,利通电子,元器件,消费电子组件,上交所,,6150146182.0,0.033,10,2000只样本池基础保留
sh688266,688266.SH,泽璟制药,生物制药,其他生物制药,上交所,,337811992.0,0.033,2,2000只样本池基础保留
sz300832,300832.SZ,新产业,医疗保健,诊断试剂,深交所,,229028608.0,0.033,2,2000只样本池基础保留
sh600085,600085.SH,同仁堂,中成药,中药,上交所,,140385125.0,0.033,4,2000只样本池基础保留
sh601607,601607.SH,上海医药,医药商业,医药流通,上交所,,134263289.0,0.033,6,2000只样本池基础保留
sh603596,603596.SH,伯特利,汽车配件,底盘与发动机系统,上交所,,623039408.0,0.033,10,2000只样本池基础保留
sh603766,603766.SH,隆鑫通用,摩托车,摩托车,上交所,,236321539.0,0.033,8,2000只样本池基础保留
sh600845,600845.SH,宝信软件,软件服务,行业应用软件,上交所,,876716631.0,0.033,18,2000只样本池基础保留
sz301269,301269.SZ,华大九天,半导体,集成电路设计,深交所,,772943152.0,0.033,6,2000只样本池基础保留
sz000158,000158.SZ,常山北明,软件服务,行业应用软件,深交所,,618579767.0,0.033,32,2000只样本池基础保留
sz002180,002180.SZ,奔图科技,IT设备,其他IT设备,深交所,,288503675.0,0.033,12,2000只样本池基础保留
sh601958,601958.SH,金钼股份,小金属,钨钼,上交所,,808686105.0,0.033,3,2000只样本池基础保留
sz001965,001965.SZ,招商公路,路桥,高速公路,深交所,,90781287.0,0.033,7,2000只样本池基础保留
sz300002,300002.SZ,神州泰岳,互联网,游戏,深交所,,527448980.0,0.033,27,2000只样本池基础保留
sz002673,002673.SZ,西部证券,证券,证券,深交所,,156150092.0,0.033,0,2000只样本池基础保留
sz000728,000728.SZ,国元证券,证券,证券,深交所,,154940573.0,0.033,0,2000只样本池基础保留
sh600918,600918.SH,中泰证券,证券,证券,上交所,,127179859.0,0.033,0,2000只样本池基础保留
sz000830,000830.SZ,鲁西化工,化工原料,煤化工,深交所,,471338488.0,0.033,6,2000只样本池基础保留
sh600873,600873.SH,梅花生物,食品,调味品,上交所,,335323889.0,0.033,4,2000只样本池基础保留
sz300699,300699.SZ,光威复材,化纤,碳纤维,深交所,,957773635.0,0.033,15,2000只样本池基础保留
sh600186,600186.SH,莲花控股,食品,调味品,上交所,,3394675769.0,0.033,9,2000只样本池基础保留
sh603156,603156.SH,养元饮品,软饮料,软饮料,上交所,,569221947.0,0.033,1,2000只样本池基础保留
sh601699,601699.SH,潞安环能,煤炭开采,炼焦煤,上交所,,456039189.0,0.033,0,2000只样本池基础保留
sz300024,300024.SZ,机器人,专用机械,机器人,深交所,,784012527.0,0.032,20,2000只样本池基础保留
sh600869,600869.SH,远东股份,电气设备,线缆部件及其他,上交所,,1607527942.0,0.032,38,2000只样本池基础保留
sh688390,688390.SH,固德威,电气设备,光伏逆变器,上交所,,1118359561.0,0.032,5,2000只样本池基础保留
sz300131,300131.SZ,英唐智控,元器件,其他电子,深交所,,2816737138.0,0.032,21,2000只样本池基础保留
sz301611,301611.SZ,珂玛科技,半导体,半导体材料,深交所,,1700013547.0,0.032,7,2000只样本池基础保留
sh601778,601778.SH,晶科科技,新型电力,光伏发电,上交所,,3722284663.0,0.032,12,2000只样本池基础保留
sh600803,600803.SH,新奥股份,供气供热,燃气,上交所,,166409538.0,0.032,6,2000只样本池基础保留
sh688166,688166.SH,博瑞医药,化学制药,原料药,上交所,,941298144.0,0.032,6,2000只样本池基础保留
sz300003,300003.SZ,乐普医疗,医疗保健,医疗耗材,深交所,,352082841.0,0.032,14,2000只样本池基础保留
sh600518,600518.SH,康美药业,中成药,中药,上交所,,266349741.0,0.032,5,2000只样本池基础保留
sz301550,301550.SZ,斯菱智驱,汽车配件,轮胎轮毂,深交所,,2049676577.0,0.032,4,2000只样本池基础保留
sz002065,002065.SZ,东华软件,软件服务,行业应用软件,深交所,,834113187.0,0.032,44,2000只样本池基础保留
sh600100,600100.SH,同方股份,IT设备,其他IT设备,上交所,,832338497.0,0.032,40,2000只样本池基础保留
sh600388,600388.SH,龙净环保,环境保护,环保设备,上交所,,222635913.0,0.032,11,2000只样本池基础保留
sh601020,601020.SH,华钰矿业,铅锌,铅锌,上交所,,1104856637.0,0.032,2,2000只样本池基础保留
sh688668,688668.SH,鼎通科技,通信设备,网络接配及塔设,上交所,,1242780662.0,0.032,8,2000只样本池基础保留
sz300628,300628.SZ,亿联网络,通信设备,通信终端及配件,深交所,,342181124.0,0.032,6,2000只样本池基础保留
sh603067,603067.SH,振华股份,化工原料,无机盐,上交所,,1604916918.0,0.032,6,2000只样本池基础保留
sh600378,600378.SH,昊华科技,化工原料,氟化工,上交所,,608645864.0,0.032,16,2000只样本池基础保留
sh601216,601216.SH,君正集团,化工原料,氯碱,上交所,,386447471.0,0.032,9,2000只样本池基础保留
sz300065,300065.SZ,海兰信,船舶,航海装备,深交所,,2730108312.0,0.032,16,2000只样本池基础保留
sz000729,000729.SZ,燕京啤酒,啤酒,啤酒,深交所,,491137542.0,0.032,0,2000只样本池基础保留
sh600348,600348.SH,华阳股份,煤炭开采,炼焦煤,上交所,,505100583.0,0.032,8,2000只样本池基础保留
sh600641,600641.SH,先导基电,半导体,半导体材料,上交所,,1451034743.0,0.031,7,2000只样本池基础保留
sz000400,000400.SZ,许继电气,电气设备,电网自动化,深交所,,843644989.0,0.031,18,2000只样本池基础保留
sh600312,600312.SH,平高电气,电气设备,输变电设备,上交所,,663160432.0,0.031,12,2000只样本池基础保留
sz301526,301526.SZ,国际复材,玻璃,玻纤制造,深交所,,3055218021.0,0.031,10,2000只样本池基础保留
sh600177,600177.SH,雅戈尔,服饰,非运动服装,上交所,,157463536.0,0.031,5,2000只样本池基础保留
sh603160,603160.SH,汇顶科技,半导体,集成电路设计,上交所,,348532014.0,0.031,20,2000只样本池基础保留
sh600930,600930.SH,华电新能,新型电力,风力发电,上交所,,1321960331.0,0.031,9,2000只样本池基础保留
sz300122,300122.SZ,智飞生物,生物制药,疫苗,深交所,,351680419.0,0.031,6,2000只样本池基础保留
sz000623,000623.SZ,吉林敖东,中成药,中药,深交所,,212076993.0,0.031,9,2000只样本池基础保留
sh603119,603119.SH,浙江荣泰,汽车配件,其他汽车零部件,上交所,,3133382062.0,0.031,8,2000只样本池基础保留
sz002410,002410.SZ,广联达,软件服务,云软件服务,深交所,,512786398.0,0.031,10,2000只样本池基础保留
sh603588,603588.SH,高能环境,环境保护,固废治理,上交所,,860875585.0,0.031,8,2000只样本池基础保留
sz000688,000688.SZ,国城矿业,铅锌,铅锌,深交所,,1593805959.0,0.031,5,2000只样本池基础保留
sh603077,603077.SH,和邦生物,化工原料,纯碱,上交所,,488483522.0,0.031,13,2000只样本池基础保留
sz002151,002151.SZ,北斗星通,通信设备,军工电子,深交所,,1509046957.0,0.031,21,2000只样本池基础保留
sh601997,601997.SH,贵阳银行,银行,城商行,上交所,,186447685.0,0.03,0,2000只样本池基础保留
sh601933,601933.SH,永辉超市,超市连锁,超市及便利店,上交所,,324243976.0,0.03,8,2000只样本池基础保留
sz000811,000811.SZ,冰轮环境,工程机械,制冷空调设备,深交所,,1104856005.0,0.03,24,2000只样本池基础保留
sh600114,600114.SH,东睦股份,机械基件,金属制品,上交所,,551003199.0,0.03,19,2000只样本池基础保留
sh688005,688005.SH,容百科技,电气设备,电池化学品,上交所,,1974648218.0,0.03,8,2000只样本池基础保留
sh688503,688503.SH,聚和材料,电气设备,光伏辅材,上交所,,1244472085.0,0.03,12,2000只样本池基础保留
sh600363,600363.SH,联创光电,元器件,其他电子,上交所,,955759136.0,0.03,12,2000只样本池基础保留
sh688018,688018.SH,乐鑫科技,半导体,集成电路设计,上交所,,837539828.0,0.03,9,2000只样本池基础保留
sz002015,002015.SZ,协鑫能科,新型电力,电能综合服务,深交所,,3011936090.0,0.03,21,2000只样本池基础保留
sh600025,600025.SH,华能水电,水力发电,水力发电,上交所,,285569767.0,0.03,4,2000只样本池基础保留
sh600642,600642.SH,申能股份,火力发电,火力发电,上交所,,247309383.0,0.03,8,2000只样本池基础保留
sz002223,002223.SZ,鱼跃医疗,医疗保健,家用器械,深交所,,327397897.0,0.03,7,2000只样本池基础保留
sz000999,000999.SZ,华润三九,中成药,中药,深交所,,295893102.0,0.03,5,2000只样本池基础保留
sh601799,601799.SH,星宇股份,汽车配件,车身附件及饰件,上交所,,1140450081.0,0.03,8,2000只样本池基础保留
sz000967,000967.SZ,盈峰环境,环境保护,环保设备,深交所,,4995303523.0,0.03,16,2000只样本池基础保留
sz300627,300627.SZ,华测导航,通信设备,其他通信设备,深交所,,466528610.0,0.03,14,2000只样本池基础保留
sh601975,601975.SH,招商南油,水运,航运,上交所,,2266203391.0,0.03,1,2000只样本池基础保留
sh603444,603444.SH,吉比特,互联网,游戏,上交所,,734629798.0,0.03,3,2000只样本池基础保留
sz000415,000415.SZ,渤海租赁,多元金融,租赁,深交所,,379855792.0,0.03,3,2000只样本池基础保留
sz000750,000750.SZ,国海证券,证券,证券,深交所,,145856345.0,0.03,0,2000只样本池基础保留
sh600486,600486.SH,扬农化工,农药化肥,农药,上交所,,465433245.0,0.03,3,2000只样本池基础保留
sh688065,688065.SH,凯赛生物,化工原料,有机化工原料,上交所,,272778443.0,0.03,3,2000只样本池基础保留
sz002413,002413.SZ,雷科防务,通信设备,军工电子,深交所,,2320969268.0,0.03,24,2000只样本池基础保留
sh600765,600765.SH,中航重机,航空,航空装备,上交所,,552291961.0,0.03,12,2000只样本池基础保留
sz000596,000596.SZ,古井贡酒,白酒,白酒,深交所,,259344494.0,0.03,2,2000只样本池基础保留
sz300896,300896.SZ,爱美客,医疗保健,医美耗材,深交所,,386980428.0,0.03,3,2000只样本池基础保留
sh603667,603667.SH,五洲新春,机械基件,机械基础件,上交所,,2887365873.0,0.029,12,2000只样本池基础保留
sz300083,300083.SZ,创世纪,机床制造,机床制造,深交所,,2254927665.0,0.029,24,2000只样本池基础保留
sh688778,688778.SH,厦钨新能,电气设备,电池化学品,上交所,,784152637.0,0.029,6,2000只样本池基础保留
sz300999,300999.SZ,金龙鱼,食品,粮油加工,深交所,,222266469.0,0.029,2,2000只样本池基础保留
sz002044,002044.SZ,美年健康,医疗保健,医院,深交所,,2394719803.0,0.029,14,2000只样本池基础保留
sh603127,603127.SH,昭衍新药,医疗保健,医疗研发外包,上交所,,957500629.0,0.029,5,2000只样本池基础保留
sh600521,600521.SH,华海药业,化学制药,化学制剂,上交所,,327808220.0,0.029,4,2000只样本池基础保留
sh600166,600166.SH,福田汽车,汽车整车,商用载货车,上交所,,635965573.0,0.029,16,2000只样本池基础保留
sz300811,300811.SZ,铂科新材,矿物制品,磁性材料,深交所,,769486717.0,0.029,11,2000只样本池基础保留
sh600061,600061.SH,国投资本,证券,证券,上交所,,233371125.0,0.029,2,2000只样本池基础保留
sh600909,600909.SH,华安证券,证券,证券,上交所,,195723064.0,0.029,0,2000只样本池基础保留
sh600369,600369.SH,西南证券,证券,证券,上交所,,141116952.0,0.029,0,2000只样本池基础保留
sh600862,600862.SH,中航高科,航空,航空装备,上交所,,636183475.0,0.029,11,2000只样本池基础保留
sz000629,000629.SZ,钒钛股份,小金属,其他金属,深交所,,676756268.0,0.029,6,2000只样本池基础保留
sz300769,300769.SZ,德方纳米,化工原料,电池化学品,深交所,,3938063876.0,0.028,5,2000只样本池基础保留
sh603026,603026.SH,石大胜华,化工原料,电池化学品,上交所,,2653743482.0,0.028,5,2000只样本池基础保留
sz300118,300118.SZ,东方日升,电气设备,光伏电池组件,深交所,,1419398456.0,0.028,9,2000只样本池基础保留
sz002249,002249.SZ,大洋电机,电气设备,电机制造,深交所,,939043817.0,0.028,16,2000只样本池基础保留
sh600737,600737.SH,中粮糖业,食品,制糖业,上交所,,581013156.0,0.028,1,2000只样本池基础保留
sh600201,600201.SH,生物股份,农业综合,动物保健,上交所,,468342699.0,0.028,4,2000只样本池基础保留
sh600206,600206.SH,有研新材,半导体,半导体材料,上交所,,3077748789.0,0.028,9,2000只样本池基础保留
sz300088,300088.SZ,长信科技,元器件,光学元件,深交所,,1025536845.0,0.028,23,2000只样本池基础保留
sh688519,688519.SH,南亚新材,元器件,PCB,上交所,,994595294.0,0.028,6,2000只样本池基础保留
sh600171,600171.SH,上海贝岭,半导体,集成电路设计,上交所,,471498986.0,0.028,15,2000只样本池基础保留
sh601016,601016.SH,节能风电,新型电力,风力发电,上交所,,3585932538.0,0.028,3,2000只样本池基础保留
sz000875,000875.SZ,电投绿能,火力发电,电能综合服务,深交所,,432607994.0,0.028,12,2000只样本池基础保留
sz000534,000534.SZ,万泽股份,生物制药,其他生物制药,深交所,,1236603466.0,0.028,5,2000只样本池基础保留
sh601611,601611.SH,中国核建,建筑工程,基建工程,上交所,,568397924.0,0.028,9,2000只样本池基础保留
sh688158,688158.SH,优刻得,软件服务,云基础设施服务,上交所,,2028330741.0,0.028,25,2000只样本池基础保留
sh688188,688188.SH,柏楚电子,专用机械,工业控制设备,上交所,,615014733.0,0.028,6,2000只样本池基础保留
sz000762,000762.SZ,西藏矿业,小金属,锂,深交所,,2441847797.0,0.028,7,2000只样本池基础保留
sh688102,688102.SH,斯瑞新材,铜,铜,上交所,,1933655450.0,0.028,12,2000只样本池基础保留
sh603876,603876.SH,鼎胜新材,铝,铝,上交所,,1785862891.0,0.028,5,2000只样本池基础保留
sh600153,600153.SH,建发股份,仓储物流,供应链服务,上交所,,218056580.0,0.028,9,2000只样本池基础保留
sh601059,601059.SH,信达证券,证券,证券,上交所,,104408566.0,0.028,0,2000只样本池基础保留
sh601990,601990.SH,南京证券,证券,证券,上交所,,96686561.0,0.028,1,2000只样本池基础保留
sz002683,002683.SZ,广东宏大,化工原料,民爆制品,深交所,,898114927.0,0.028,9,2000只样本池基础保留
sz300487,300487.SZ,蓝晓科技,化工原料,合成树脂,深交所,,255707883.0,0.028,11,2000只样本池基础保留
sz000738,000738.SZ,航发控制,航空,航空装备,深交所,,1230652682.0,0.028,6,2000只样本池基础保留
sz000733,000733.SZ,振华科技,元器件,军工电子,深交所,,725957591.0,0.028,14,2000只样本池基础保留
sh601001,601001.SH,晋控煤业,煤炭开采,动力煤,上交所,,327274786.0,0.028,1,2000只样本池基础保留
sz000932,000932.SZ,华菱钢铁,普钢,板材,深交所,,240978864.0,0.028,3,2000只样本池基础保留
sz002565,002565.SZ,顺灏股份,造纸,纸包装,深交所,,4565289252.0,0.028,9,2000只样本池基础保留
sh600773,600773.SH,西藏城投,区域地产,住宅开发,上交所,,1327008212.0,0.027,5,2000只样本池基础保留
sh601106,601106.SH,中国一重,工程机械,能源及重型设备,上交所,,577721354.0,0.027,10,2000只样本池基础保留
sz000528,000528.SZ,柳工,工程机械,工程机械整机,深交所,,372249365.0,0.027,9,2000只样本池基础保留
sh688516,688516.SH,奥特维,专用机械,光伏加工设备,上交所,,1210339719.0,0.027,11,2000只样本池基础保留
sz000009,000009.SZ,中国宝安,电气设备,电池化学品,深交所,,257371973.0,0.027,26,2000只样本池基础保留
sh600398,600398.SH,海澜之家,服饰,非运动服装,上交所,,318739046.0,0.027,6,2000只样本池基础保留
sz000062,000062.SZ,深圳华强,元器件,其他电子,深交所,,3261794173.0,0.027,17,2000只样本池基础保留
sh688123,688123.SH,聚辰股份,半导体,集成电路设计,上交所,,1494673661.0,0.027,12,2000只样本池基础保留
sh688322,688322.SH,奥比中光,元器件,光学元件,上交所,,1286588245.0,0.027,17,2000只样本池基础保留
sh688127,688127.SH,蓝特光学,元器件,光学元件,上交所,,987334513.0,0.027,8,2000只样本池基础保留
sh600563,600563.SH,法拉电子,元器件,被动元件,上交所,,655290188.0,0.027,11,2000只样本池基础保留
sz300655,300655.SZ,晶瑞电材,半导体,半导体材料,深交所,,578662967.0,0.027,7,2000只样本池基础保留
sh601991,601991.SH,大唐发电,火力发电,火力发电,上交所,,6675181861.0,0.027,7,2000只样本池基础保留
sh605090,605090.SH,九丰能源,供气供热,燃气,上交所,,934398032.0,0.027,13,2000只样本池基础保留
sz002007,002007.SZ,华兰生物,生物制药,血液制品,深交所,,167706759.0,0.027,4,2000只样本池基础保留
sh600332,600332.SH,白云山,中成药,中药,上交所,,151704514.0,0.027,6,2000只样本池基础保留
sh601238,601238.SH,广汽集团,汽车整车,综合乘用车,上交所,,112446461.0,0.027,20,2000只样本池基础保留
sz300085,300085.SZ,银之杰,软件服务,行业应用软件,深交所,,1444170855.0,0.027,15,2000只样本池基础保留
sh688208,688208.SH,道通科技,IT设备,其他IT设备,上交所,,316159465.0,0.027,15,2000只样本池基础保留
sh600323,600323.SH,瀚蓝环境,环境保护,固废治理,上交所,,208042873.0,0.027,10,2000只样本池基础保留
sz000969,000969.SZ,安泰科技,小金属,其他金属新材料,深交所,,684866690.0,0.027,27,2000只样本池基础保留
sh603881,603881.SH,数据港,软件服务,云基础设施服务,上交所,,2626185218.0,0.027,10,2000只样本池基础保留
sh600704,600704.SH,物产中大,仓储物流,供应链服务,上交所,,229588008.0,0.027,11,2000只样本池基础保留
sz002400,002400.SZ,省广集团,广告包装,互联网广告,深交所,,1346580789.0,0.027,21,2000只样本池基础保留
