序号,代码,展示代码,名称,市场,行业,入池类型,入池批次,来源,来源行号,是否启用,更新频率,最新价,涨跌幅,涨跌额,成交量,成交额,最高,最低,今开,昨收,市盈率,量比,换手率,快照生成时间,本池生成时间
49,sz300015,300015.SZ,爱尔眼科,深交所,医疗服务,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,49,True,每个交易日盘后；必须早于收盘短线观察报告生成,10.58,0.28,0.03,717762,759640866.14,10.74,10.43,10.54,10.55,20.89,1.23,0.9,2026-05-11 13:28:35,2026-05-12 07:11:40
50,sz000538,000538.SZ,云南白药,深交所,中药Ⅱ,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,50,True,每个交易日盘后；必须早于收盘短线观察报告生成,52.64,0.04,0.02,55289,290725976.96,52.75,52.48,52.62,52.62,11.53,0.88,0.31,2026-05-11 13:28:35,2026-05-12 07:11:40
51,sh600436,600436.SH,片仔癀,上交所,中药Ⅱ,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,51,True,每个交易日盘后；必须早于收盘短线观察报告生成,140.52,-0.47,-0.66,21890,306606374.0,141.1,139.7,141.1,141.18,28.51,0.86,0.36,2026-05-11 13:28:35,2026-05-12 07:11:40
52,sz000858,000858.SZ,五 粮 液,深交所,白酒Ⅱ,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,52,True,每个交易日盘后；必须早于收盘短线观察报告生成,91.43,-0.76,-0.7,193029,1769819449.93,92.29,91.37,92.03,92.13,11.0,0.69,0.5,2026-05-11 13:28:35,2026-05-12 07:11:40
53,sz000568,000568.SZ,泸州老窖,深交所,白酒Ⅱ,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,53,True,每个交易日盘后；必须早于收盘短线观察报告生成,96.59,-0.96,-0.94,68328,662727440.93,98.33,96.3,97.45,97.53,9.58,0.94,0.46,2026-05-11 13:28:35,2026-05-12 07:11:40
54,sz000333,000333.SZ,美的集团,深交所,白色家电,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,54,True,每个交易日盘后；必须早于收盘短线观察报告生成,80.95,0.68,0.55,310215,2520435260.99,82.45,79.58,80.14,80.4,12.15,1.47,0.45,2026-05-11 13:28:35,2026-05-12 07:11:40
55,sh600887,600887.SH,伊利股份,上交所,饮料乳品,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,55,True,每个交易日盘后；必须早于收盘短线观察报告生成,28.11,2.14,0.59,636852,1773508988.0,28.14,27.36,27.7,27.52,8.24,0.89,1.01,2026-05-11 13:28:35,2026-05-12 07:11:40
56,sh600900,600900.SH,长江电力,上交所,电力,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,56,True,每个交易日盘后；必须早于收盘短线观察报告生成,27.01,0.04,0.01,692446,1874211258.0,27.2,26.95,27.05,27.0,24.44,0.96,0.28,2026-05-11 13:28:35,2026-05-12 07:11:40
57,sh601318,601318.SH,中国平安,上交所,保险Ⅱ,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,57,True,每个交易日盘后；必须早于收盘短线观察报告生成,59.55,-0.85,-0.51,604148,3614838793.0,60.55,59.26,59.78,60.06,10.77,0.87,0.57,2026-05-11 13:28:35,2026-05-12 07:11:40
58,sh600036,600036.SH,招商银行,上交所,银行Ⅱ,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,58,True,每个交易日盘后；必须早于收盘短线观察报告生成,37.8,-0.37,-0.14,581886,2200808281.0,37.96,37.7,37.95,37.94,6.3,0.69,0.28,2026-05-11 13:28:35,2026-05-12 07:11:40
59,sz300059,300059.SZ,东方财富,深交所,证券Ⅱ,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,59,True,每个交易日盘后；必须早于收盘短线观察报告生成,20.8,1.51,0.31,3034665,6318650860.98,21.03,20.44,20.45,20.49,21.99,1.52,2.28,2026-05-11 13:28:35,2026-05-12 07:11:40
60,sh601899,601899.SH,紫金矿业,上交所,工业金属,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,60,True,每个交易日盘后；必须早于收盘短线观察报告生成,34.01,-2.27,-0.79,2006857,6882837110.0,34.72,34.0,34.55,34.8,11.26,1.02,0.97,2026-05-11 13:28:35,2026-05-12 07:11:40
61,sh600111,600111.SH,北方稀土,上交所,小金属,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,61,True,每个交易日盘后；必须早于收盘短线观察报告生成,56.88,3.89,2.13,1700927,9623106463.0,57.95,54.76,54.91,54.75,56.01,1.34,4.71,2026-05-11 13:28:35,2026-05-12 07:11:40
62,sz002466,002466.SZ,天齐锂业,深交所,能源金属,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,62,True,每个交易日盘后；必须早于收盘短线观察报告生成,76.9,1.12,0.85,623497,4793827251.75,78.27,75.57,76.83,76.05,17.54,0.85,4.23,2026-05-11 13:28:35,2026-05-12 07:11:40
63,sz000792,000792.SZ,盐湖股份,深交所,农化制品,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,63,True,每个交易日盘后；必须早于收盘短线观察报告生成,37.56,-1.29,-0.49,953467,3626587019.54,38.95,37.5,38.4,38.05,16.42,0.89,1.8,2026-05-11 13:28:35,2026-05-12 07:11:40
64,sh600188,600188.SH,兖矿能源,上交所,煤炭开采,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,64,True,每个交易日盘后；必须早于收盘短线观察报告生成,21.45,0.05,0.01,492221,1072819725.0,22.25,21.4,21.58,21.44,13.61,1.16,0.83,2026-05-11 13:28:35,2026-05-12 07:11:40
65,sh600760,600760.SH,中航沈飞,上交所,航空装备Ⅱ,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,65,True,每个交易日盘后；必须早于收盘短线观察报告生成,49.21,-0.99,-0.49,244087,1211620261.0,50.45,49.2,50.45,49.7,211.44,1.64,0.86,2026-05-11 13:28:35,2026-05-12 07:11:40
66,sh600501,600501.SH,航天晨光,上交所,专用设备,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,66,True,每个交易日盘后；必须早于收盘短线观察报告生成,24.7,-0.88,-0.22,118219,295551348.0,25.42,24.66,25.02,24.92,-42.63,1.91,2.76,2026-05-11 13:28:35,2026-05-12 07:11:40
67,sh600585,600585.SH,海螺水泥,上交所,水泥,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,67,True,每个交易日盘后；必须早于收盘短线观察报告生成,21.34,1.43,0.3,575087,1232185461.0,21.7,20.98,21.0,21.04,19.26,1.95,1.44,2026-05-11 13:28:35,2026-05-12 07:11:40
68,sh600048,600048.SH,保利发展,上交所,房地产开发,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,68,True,每个交易日盘后；必须早于收盘短线观察报告生成,6.64,3.27,0.21,2753706,1838823607.0,6.86,6.4,6.43,6.43,21.7,2.87,2.3,2026-05-11 13:28:35,2026-05-12 07:11:40
69,sz000002,000002.SZ,万  科Ａ,深交所,房地产开发,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,69,True,每个交易日盘后；必须早于收盘短线观察报告生成,4.07,1.75,0.07,1472075,599719969.66,4.14,3.98,4.0,4.0,-2.04,1.65,1.51,2026-05-11 13:28:35,2026-05-12 07:11:40
70,sh688111,688111.SH,金山办公,上交所,软件开发,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,70,True,每个交易日盘后；必须早于收盘短线观察报告生成,270.0,-0.46,-1.26,79758,2154314152.0,273.0,267.21,270.05,271.26,14.25,1.13,1.72,2026-05-11 13:28:35,2026-05-12 07:11:40
71,sz002230,002230.SZ,科大讯飞,深交所,软件开发,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,71,True,每个交易日盘后；必须早于收盘短线观察报告生成,50.07,0.32,0.16,452492,2271625940.93,50.66,49.68,50.0,49.91,-177.16,1.32,2.07,2026-05-11 13:28:35,2026-05-12 07:11:40
72,sh600309,600309.SH,万华化学,上交所,化学制品,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,72,True,每个交易日盘后；必须早于收盘短线观察报告生成,83.39,-0.25,-0.21,249251,2086412809.0,84.35,83.1,83.61,83.6,17.55,1.05,0.8,2026-05-11 13:28:35,2026-05-12 07:11:40
73,sh600426,600426.SH,华鲁恒升,上交所,农化制品,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,73,True,每个交易日盘后；必须早于收盘短线观察报告生成,34.95,-1.58,-0.56,268302,955136100.0,36.39,34.85,35.51,35.51,16.55,1.55,1.27,2026-05-11 13:28:35,2026-05-12 07:11:40
74,sz002493,002493.SZ,荣盛石化,深交所,炼化及贸易,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,74,True,每个交易日盘后；必须早于收盘短线观察报告生成,12.99,0.7,0.09,398979,522113465.69,13.19,12.88,12.9,12.9,11.52,0.85,0.43,2026-05-11 13:28:35,2026-05-12 07:11:40
75,sh600160,600160.SH,巨化股份,上交所,化学制品,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,75,True,每个交易日盘后；必须早于收盘短线观察报告生成,35.53,-0.14,-0.05,297240,1067642132.0,36.35,35.48,35.57,35.58,20.44,1.23,1.1,2026-05-11 13:28:35,2026-05-12 07:11:40
76,sz002001,002001.SZ,新 和 成,深交所,化学制品,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,76,True,每个交易日盘后；必须早于收盘短线观察报告生成,32.33,0.12,0.04,233896,759304556.14,32.88,32.23,32.37,32.29,13.59,0.82,0.77,2026-05-11 13:28:35,2026-05-12 07:11:40
