所属池,代码,展示代码,名称,市场,行业,细分领域,名单分类,来源,入池理由,评分,阶段用途
L7可交易过滤池,sh600685,600685.SH,中船防务,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600688,600688.SH,上海石化,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600690,600690.SH,海尔智家,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600699,600699.SH,均胜电子,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600704,600704.SH,物产中大,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600707,600707.SH,彩虹股份,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600720,600720.SH,中交设计,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600737,600737.SH,中粮糖业,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600739,600739.SH,辽宁成大,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600741,600741.SH,华域汽车,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600754,600754.SH,锦江酒店,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600760,600760.SH,中航沈飞,,军工,战斗机,军工/航空航天,"""user_enhance""；""index_base""",,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600763,600763.SH,通策医疗,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600764,600764.SH,中国海防,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600765,600765.SH,中航重机,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600795,600795.SH,国电电力,,电力,火水并举+弹性装机,电力,"""user_enhance""；""index_base""",,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600801,600801.SH,华新建材,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600803,600803.SH,新奥股份,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600808,600808.SH,马钢股份,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600809,600809.SH,山西汾酒,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600816,600816.SH,建元信托,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600820,600820.SH,隧道股份,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600845,600845.SH,宝信软件,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600848,600848.SH,上海临港,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600862,600862.SH,中航高科,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600863,600863.SH,华能蒙电,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600871,600871.SH,石化油服,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600873,600873.SH,梅花生物,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600875,600875.SH,东方电气,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600879,600879.SH,航天电子,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600884,600884.SH,杉杉股份,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600885,600885.SH,宏发股份,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600886,600886.SH,国投电力,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600887,600887.SH,伊利股份,,食品饮料,乳制品,大消费,"""user_enhance""；""index_base""",,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600893,600893.SH,航发动力,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600900,600900.SH,长江电力,,电力,水电,大消费,"""user_enhance""；""index_base""",,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600901,600901.SH,江苏金租,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600905,600905.SH,三峡能源,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600906,600906.SH,财达证券,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600909,600909.SH,华安证券,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600918,600918.SH,中泰证券,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600919,600919.SH,江苏银行,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600926,600926.SH,杭州银行,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600927,600927.SH,永安期货,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600930,600930.SH,华电新能,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600938,600938.SH,中国海油,,石油石化,海上油气,石油石化,"""user_enhance""；""index_base""",,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600941,600941.SH,中国移动,,通信,电信运营商,通信,"""user_enhance""；""index_base""",,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600959,600959.SH,江苏有线,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600967,600967.SH,内蒙一机,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600968,600968.SH,海油发展,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600970,600970.SH,中材国际,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600977,600977.SH,中国电影,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600985,600985.SH,淮北矿业,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600988,600988.SH,赤峰黄金,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600989,600989.SH,宝丰能源,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600995,600995.SH,南网储能,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600998,600998.SH,九州通,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh600999,600999.SH,招商证券,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601000,601000.SH,唐山港,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601001,601001.SH,晋控煤业,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601006,601006.SH,大秦铁路,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601009,601009.SH,南京银行,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601012,601012.SH,隆基绿能,,新能源,光伏硅片+组件,新能源,"""user_enhance""；""index_base""",,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601016,601016.SH,节能风电,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601018,601018.SH,宁波港,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601019,601019.SH,山东出版,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601021,601021.SH,春秋航空,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601058,601058.SH,赛轮轮胎,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601059,601059.SH,信达证券,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601061,601061.SH,中信金属,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601066,601066.SH,中信建投,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601077,601077.SH,渝农商行,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601088,601088.SH,中国神华,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601098,601098.SH,中南传媒,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601099,601099.SH,太平洋,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601100,601100.SH,恒立液压,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601106,601106.SH,中国一重,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601108,601108.SH,财通证券,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601111,601111.SH,中国国航,,交通运输,航空,交通运输,"""user_enhance""；""index_base""",,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601117,601117.SH,中国化学,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601118,601118.SH,海南橡胶,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601127,601127.SH,赛力斯,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601128,601128.SH,常熟银行,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601136,601136.SH,首创证券,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601138,601138.SH,工业富联,,电子制造,AI服务器,AI算力,"""user_enhance""；""index_base""",,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601139,601139.SH,深圳燃气,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601155,601155.SH,新城控股,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601156,601156.SH,东航物流,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601162,601162.SH,天风证券,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601166,601166.SH,兴业银行,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601168,601168.SH,西部矿业,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601169,601169.SH,北京银行,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601179,601179.SH,中国西电,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601186,601186.SH,中国铁建,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601198,601198.SH,东兴证券,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601211,601211.SH,国泰海通,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601212,601212.SH,白银有色,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601216,601216.SH,君正集团,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601225,601225.SH,陕西煤业,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601228,601228.SH,广州港,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601229,601229.SH,上海银行,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601231,601231.SH,环旭电子,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601233,601233.SH,桐昆股份,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601236,601236.SH,红塔证券,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601238,601238.SH,广汽集团,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601288,601288.SH,农业银行,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601298,601298.SH,青岛港,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601318,601318.SH,中国平安,,金融,保险,金融,"""user_enhance""；""index_base""",,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601319,601319.SH,中国人保,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601328,601328.SH,交通银行,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601333,601333.SH,广深铁路,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601336,601336.SH,新华保险,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601360,601360.SH,三六零,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601377,601377.SH,兴业证券,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601390,601390.SH,中国中铁,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601398,601398.SH,工商银行,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601399,601399.SH,国机重装,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601456,601456.SH,国联民生,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601555,601555.SH,东吴证券,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601567,601567.SH,三星电气,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601577,601577.SH,长沙银行,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601598,601598.SH,中国外运,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601600,601600.SH,中国铝业,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601601,601601.SH,中国太保,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601607,601607.SH,上海医药,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601608,601608.SH,中信重工,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601611,601611.SH,中国核建,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601615,601615.SH,明阳智能,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601618,601618.SH,中国中冶,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601628,601628.SH,中国人寿,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601633,601633.SH,长城汽车,,汽车,整车,汽车,"""user_enhance""；""index_base""",,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601658,601658.SH,邮储银行,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601665,601665.SH,齐鲁银行,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601666,601666.SH,平煤股份,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601668,601668.SH,中国建筑,,建筑装饰,建筑央国企,建筑装饰,"""user_enhance""；""index_base""",,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601669,601669.SH,中国电建,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601688,601688.SH,华泰证券,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601689,601689.SH,拓普集团,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601696,601696.SH,中银证券,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601698,601698.SH,中国卫通,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601699,601699.SH,潞安环能,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601717,601717.SH,中创智领,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601728,601728.SH,中国电信,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601766,601766.SH,中国中车,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601788,601788.SH,光大证券,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601799,601799.SH,星宇股份,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601800,601800.SH,中国交建,,建筑装饰,基建+运河经济,建筑装饰,"""user_enhance""；""index_base""",,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601808,601808.SH,中海油服,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601816,601816.SH,京沪高铁,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601818,601818.SH,光大银行,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601825,601825.SH,沪农商行,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601838,601838.SH,成都银行,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601857,601857.SH,中国石油,,石油石化,油气+天然气,石油石化,"""user_enhance""；""index_base""",,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601865,601865.SH,福莱特,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601866,601866.SH,中远海发,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601868,601868.SH,中国能建,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601872,601872.SH,招商轮船,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601877,601877.SH,正泰电器,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601878,601878.SH,浙商证券,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601880,601880.SH,辽港股份,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601881,601881.SH,中国银河,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601882,601882.SH,海天精工,,机械设备,大型龙门加工中心,机械设备,"""user_enhance""；""strategic""",用户增强观察池重点关注；未纳入L8指数基底池；机械设备；大型龙门加工中心,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601888,601888.SH,中国中免,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601898,601898.SH,中煤能源,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601899,601899.SH,紫金矿业,,有色金属,铜金矿,资源/材料,"""user_enhance""；""index_base""",,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601901,601901.SH,方正证券,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601916,601916.SH,浙商银行,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601918,601918.SH,新集能源,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601919,601919.SH,中远海控,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601921,601921.SH,浙版传媒,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601928,601928.SH,凤凰传媒,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601939,601939.SH,建设银行,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601958,601958.SH,金钼股份,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601965,601965.SH,中国汽研,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601966,601966.SH,玲珑轮胎,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601985,601985.SH,中国核电,,电力,核电,电力,"""user_enhance""；""index_base""",,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601988,601988.SH,中国银行,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601990,601990.SH,南京证券,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601991,601991.SH,大唐发电,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601995,601995.SH,中金公司,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601997,601997.SH,贵阳银行,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh601998,601998.SH,中信银行,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh603000,603000.SH,人民网,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh603019,603019.SH,中科曙光,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh603049,603049.SH,中策橡胶,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh603077,603077.SH,和邦生物,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh603087,603087.SH,甘李药业,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh603129,603129.SH,春风动力,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh603156,603156.SH,养元饮品,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh603160,603160.SH,汇顶科技,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh603179,603179.SH,新泉股份,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh603195,603195.SH,公牛集团,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh603225,603225.SH,新凤鸣,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh603228,603228.SH,景旺电子,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh603233,603233.SH,大参林,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh603259,603259.SH,药明康德,,医药医疗,CXO,医药/医疗,"""user_enhance""；""index_base""",,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh603260,603260.SH,合盛硅业,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh603288,603288.SH,海天味业,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh603290,603290.SH,斯达半导,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh603296,603296.SH,华勤技术,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh603298,603298.SH,杭叉集团,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh603338,603338.SH,浙江鼎力,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh603341,603341.SH,龙旗科技,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh603345,603345.SH,安井食品,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh603369,603369.SH,今世缘,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh603379,603379.SH,三美股份,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh603392,603392.SH,万泰生物,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh603444,603444.SH,吉比特,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh603486,603486.SH,科沃斯,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh603501,603501.SH,韦尔股份,,半导体,CMOS图像传感器,半导体,"""user_enhance""；""index_base""",,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh603529,603529.SH,爱玛科技,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh603565,603565.SH,中谷物流,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh603568,603568.SH,伟明环保,,环保,固废处理+垃圾焚烧,环保,"""user_enhance""；""index_base""",,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh603588,603588.SH,高能环境,,环保,生态修复,环保,"""user_enhance""；""strategic""",用户增强观察池重点关注；未纳入L8指数基底池；环保；生态修复,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh603589,603589.SH,口子窖,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh603596,603596.SH,伯特利,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh603605,603605.SH,珀莱雅,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh603606,603606.SH,东方电缆,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh603650,603650.SH,彤程新材,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh603658,603658.SH,安图生物,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh603659,603659.SH,璞泰来,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh603688,603688.SH,石英股份,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh603699,603699.SH,纽威股份,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh603707,603707.SH,健友股份,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh603728,603728.SH,鸣志电器,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh603737,603737.SH,三棵树,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh603766,603766.SH,隆鑫通用,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh603786,603786.SH,科博达,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh603799,603799.SH,华友钴业,,主板,,沪深300,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh603806,603806.SH,福斯特,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh603816,603816.SH,顾家家居,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
L7可交易过滤池,sh603833,603833.SH,欧派家居,,主板,,中证500,index_base,,,盘后辅助；大样本过滤入口
