"代码","展示代码","名称","市场","行业","细分领域","名单分类","来源","入池理由","评分","所属池","阶段用途"
"sz000906","000906.SZ","浙商中拓","深交所","","","","用户确认","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz300641","300641.SZ","正丹股份","深交所","","","","用户确认","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz300502","300502.SZ","新易盛","深交所","","","","用户确认","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz000657","000657.SZ","中钨高新","深交所","","","","用户确认","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz300871","300871.SZ","回盛生物","深交所","","","","用户确认","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh603259","603259.SH","药明康德","上交所","医药医疗","CXO","医药/医疗","用户确认；用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh600326","600326.SH","西藏天路","上交所","","","","用户确认","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh603501","603501.SH","韦尔股份","上交所","半导体","CMOS图像传感器","半导体","用户补充半导体样本池；用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz002812","002812.SZ","恩捷股份","深交所","","","","用户确认","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz002049","002049.SZ","紫光国微","深交所","半导体","特种集成电路、安全芯片","半导体","用户补充半导体样本池；用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz002028","002028.SZ","思源电气","深交所","","","","用户确认","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh600580","600580.SH","卧龙电驱","上交所","","","","用户确认","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh688041","688041.SH","海光信息","上交所","半导体","高端处理器(CPU/DCU)","AI算力","用户补充半导体样本池；用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh603986","603986.SH","兆易创新","上交所","半导体","存储芯片、MCU","半导体","用户补充半导体样本池；用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz300724","300724.SZ","捷佳伟创","深交所","","","","用户确认","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh688235","688235.SH","百济神州","上交所","医药医疗","抗肿瘤创新药","医药/医疗","用户确认；用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz300308","300308.SZ","中际旭创","深交所","通信","光模块","AI算力","用户确认；用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh600198","600198.SH","大唐电信","上交所","","","","用户确认","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz002281","002281.SZ","光迅科技","深交所","","","","用户确认","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh688047","688047.SH","龙芯中科","上交所","半导体","国产CPU","半导体","用户补充半导体样本池；用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh688008","688008.SH","澜起科技","上交所","半导体","内存接口芯片","半导体","用户补充半导体样本池；用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh688256","688256.SH","寒武纪","上交所","半导体","AI芯片、智能处理器","AI算力","用户补充半导体样本池；用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh688498","688498.SH","源杰科技","上交所","半导体","光通信芯片(IDM)","半导体","用户补充半导体样本池；用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh688521","688521.SH","芯原股份","上交所","半导体","芯片设计服务、IP授权","AI算力","用户补充半导体样本池；用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh688525","688525.SH","佰维存储","上交所","半导体","存储芯片","半导体","用户补充半导体样本池；用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz300782","300782.SZ","卓胜微","深交所","半导体","射频前端芯片","半导体","用户补充半导体样本池；用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh600519","600519.SH","贵州茅台","上交所","食品饮料","白酒","大消费","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz300750","300750.SZ","宁德时代","深交所","新能源","动力电池+储能","新能源","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh688802","688802.SH","沐曦股份","上交所","半导体","GPU训练+推理","AI算力","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh688795","688795.SH","摩尔线程","上交所","半导体","全功能GPU","AI算力","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh601138","601138.SH","工业富联","上交所","电子制造","AI服务器","AI算力","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz000977","000977.SZ","浪潮信息","深交所","计算机设备","服务器","AI算力","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz002371","002371.SZ","北方华创","深交所","半导体","半导体设备全品类","半导体","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh688012","688012.SH","中微公司","上交所","半导体","刻蚀设备","半导体","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh688082","688082.SH","盛美上海","上交所","半导体","清洗设备","半导体","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh688981","688981.SH","中芯国际","上交所","半导体","晶圆代工","半导体","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh600584","600584.SH","长电科技","上交所","半导体","封装测试","半导体","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz002156","002156.SZ","通富微电","深交所","半导体","封装测试","半导体","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh688234","688234.SH","天岳先进","上交所","半导体","第三代半导体材料","半导体","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz002594","002594.SZ","比亚迪","深交所","新能源","新能源整车+电池","新能源","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh601012","601012.SH","隆基绿能","上交所","新能源","光伏硅片+组件","新能源","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz300274","300274.SZ","阳光电源","深交所","新能源","逆变器+储能","新能源","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz300014","300014.SZ","亿纬锂能","深交所","新能源","储能+动力电池","新能源","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh600438","600438.SH","通威股份","上交所","新能源","光伏硅料+电池","新能源","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh688599","688599.SH","天合光能","上交所","新能源","光伏组件","新能源","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz002460","002460.SZ","赣锋锂业","深交所","有色金属","锂资源","新能源","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh600276","600276.SH","恒瑞医药","上交所","医药医疗","创新药研发","医药/医疗","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz300760","300760.SZ","迈瑞医疗","深交所","医药医疗","高端医疗器械","医药/医疗","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz300015","300015.SZ","爱尔眼科","深交所","医药医疗","眼科医疗","医药/医疗","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz000538","000538.SZ","云南白药","深交所","医药医疗","中药","医药/医疗","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh600436","600436.SH","片仔癀","上交所","医药医疗","中药稀缺龙头","医药/医疗","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz000858","000858.SZ","五粮液","深交所","食品饮料","白酒","大消费","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz000568","000568.SZ","泸州老窖","深交所","食品饮料","白酒","大消费","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz000333","000333.SZ","美的集团","深交所","家用电器","白色家电","大消费","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh600887","600887.SH","伊利股份","上交所","食品饮料","乳制品","大消费","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh600900","600900.SH","长江电力","上交所","电力","水电","大消费","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh601318","601318.SH","中国平安","上交所","金融","保险","金融","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh600036","600036.SH","招商银行","上交所","金融","银行","金融","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz300059","300059.SZ","东方财富","深交所","金融","互联网券商","金融","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh601899","601899.SH","紫金矿业","上交所","有色金属","铜金矿","资源/材料","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh600111","600111.SH","北方稀土","上交所","有色金属","稀土","资源/材料","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz002466","002466.SZ","天齐锂业","深交所","有色金属","锂矿","资源/材料","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz000792","000792.SZ","盐湖股份","深交所","有色金属","盐湖提锂","资源/材料","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh600188","600188.SH","兖矿能源","上交所","煤炭","煤炭","资源/材料","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh600760","600760.SH","中航沈飞","上交所","军工","战斗机","军工/航空航天","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh600501","600501.SH","航天晨光","上交所","军工","航天装备","军工/航空航天","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh600585","600585.SH","海螺水泥","上交所","建筑材料","水泥","基建/建材/地产","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh600048","600048.SH","保利发展","上交所","房地产","房地产开发","基建/建材/地产","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz000002","000002.SZ","万科A","深交所","房地产","房地产开发","基建/建材/地产","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh688111","688111.SH","金山办公","上交所","软件互联网","办公软件","软件/互联网","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz002230","002230.SZ","科大讯飞","深交所","软件互联网","AI语音","软件/互联网","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh600309","600309.SH","万华化学","上交所","基础化工","MDI聚氨酯","基础化工","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh600426","600426.SH","华鲁恒升","上交所","基础化工","煤化工","基础化工","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz002493","002493.SZ","荣盛石化","深交所","石油石化","炼化一体化","基础化工","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh600160","600160.SH","巨化股份","上交所","基础化工","制冷剂","基础化工","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz002001","002001.SZ","新和成","深交所","基础化工","维生素/氨基酸","基础化工","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh603993","603993.SH","洛阳钼业","上交所","有色金属","铜钴钼","有色金属","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh600547","600547.SH","山东黄金","上交所","有色金属","黄金","有色金属","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz000807","000807.SZ","云铝股份","深交所","有色金属","电解铝","有色金属","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh600938","600938.SH","中国海油","上交所","石油石化","海上油气","石油石化","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh600028","600028.SH","中国石化","上交所","石油石化","炼油化工","石油石化","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh601857","601857.SH","中国石油","上交所","石油石化","油气+天然气","石油石化","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh600019","600019.SH","宝钢股份","上交所","钢铁","普钢龙头","钢铁","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz000708","000708.SZ","中信特钢","深交所","钢铁","特钢龙头","钢铁","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz000932","000932.SZ","华菱钢铁","深交所","钢铁","高端板材","钢铁","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh688305","688305.SH","科德数控","上交所","机械设备","五轴联动龙门","机械设备","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh601882","601882.SH","海天精工","上交所","机械设备","大型龙门加工中心","机械设备","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz000837","000837.SZ","秦川机床","深交所","机械设备","精密磨床+主轴","机械设备","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz000063","000063.SZ","中兴通讯","深交所","通信","通信设备+6G","通信","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz300394","300394.SZ","天孚通信","深交所","通信","光器件","通信","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh600941","600941.SH","中国移动","上交所","通信","电信运营商","通信","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh601633","601633.SH","长城汽车","上交所","汽车","整车","汽车","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh600104","600104.SH","上汽集团","上交所","汽车","整车","汽车","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz002920","002920.SZ","德赛西威","深交所","汽车","智能驾驶域控制器","汽车","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh600660","600660.SH","福耀玻璃","上交所","汽车","汽车玻璃","汽车","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz000338","000338.SZ","潍柴动力","深交所","汽车","重卡发动机","汽车","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz002714","002714.SZ","牧原股份","深交所","农林牧渔","生猪养殖","农林牧渔","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz300498","300498.SZ","温氏股份","深交所","农林牧渔","生猪+黄羽鸡","农林牧渔","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz002311","002311.SZ","海大集团","深交所","农林牧渔","饲料","农林牧渔","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh601111","601111.SH","中国国航","上交所","交通运输","航空","交通运输","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz002352","002352.SZ","顺丰控股","深交所","交通运输","综合物流","交通运输","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz001965","001965.SZ","招商公路","深交所","交通运输","高速公路","交通运输","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh601668","601668.SH","中国建筑","上交所","建筑装饰","建筑央国企","建筑装饰","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh601800","601800.SH","中国交建","上交所","建筑装饰","基建+运河经济","建筑装饰","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz002051","002051.SZ","中工国际","深交所","建筑装饰","国际工程","建筑装饰","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh603568","603568.SH","伟明环保","上交所","环保","固废处理+垃圾焚烧","环保","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh603588","603588.SH","高能环境","上交所","环保","生态修复","环保","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz002973","002973.SZ","侨银股份","深交所","环保","环卫服务","环保","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz002555","002555.SZ","三七互娱","深交所","传媒","游戏","传媒","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz002602","002602.SZ","世纪华通","深交所","传媒","游戏+IDC","传媒","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz300364","300364.SZ","中文在线","深交所","传媒","数字阅读+IP","传媒","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz002345","002345.SZ","潮宏基","深交所","商贸零售","黄金珠宝","商贸零售","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh600612","600612.SH","老凤祥","上交所","商贸零售","黄金珠宝","商贸零售","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz002867","002867.SZ","周大生","深交所","商贸零售","黄金珠宝","商贸零售","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh600795","600795.SH","国电电力","上交所","电力","火水并举+弹性装机","电力","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh601985","601985.SH","中国核电","上交所","电力","核电","电力","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz003816","003816.SZ","中国广核","深交所","电力","核电","电力","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh600483","600483.SH","福能股份","上交所","电力","海风+气电","电力","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz002003","002003.SZ","伟星股份","深交所","纺织服饰","拉链纽扣辅料","纺织服饰","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz300979","300979.SZ","华利集团","深交所","纺织服饰","运动鞋履","纺织服饰","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sh600398","600398.SH","海澜之家","上交所","纺织服饰","大众男装","纺织服饰","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz000651","000651.SZ","格力电器","深交所","家用电器","空调","家用电器","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz002050","002050.SZ","三花智控","深交所","家用电器","制冷元器件+汽零","家用电器","用户补充全行业龙头样本池_20260501","","","重点关注股票池","盘后辅助；晚间辅助；盘前关注过滤"
"sz000906","000906.SZ","浙商中拓","深交所","主板","","","深交所官方证券列表","重点关注池强制保留","999.0","300只试运行池","盘后主输入；指标扩面目标"
"sz300641","300641.SZ","正丹股份","深交所","创业板","","","深交所官方证券列表","重点关注池强制保留","999.0","300只试运行池","盘后主输入；指标扩面目标"
"sz300502","300502.SZ","新易盛","深交所","创业板","","","深交所官方证券列表","重点关注池强制保留","999.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000657","000657.SZ","中钨高新","深交所","主板","","","深交所官方证券列表","重点关注池强制保留","999.0","300只试运行池","盘后主输入；指标扩面目标"
"sz300871","300871.SZ","回盛生物","深交所","创业板","","","深交所官方证券列表","重点关注池强制保留","999.0","300只试运行池","盘后主输入；指标扩面目标"
"sh603259","603259.SH","药明康德","上交所","","","","重点关注池","重点关注池强制保留","999.0","300只试运行池","盘后主输入；指标扩面目标"
"sh600326","600326.SH","西藏天路","上交所","","","","重点关注池","重点关注池强制保留","999.0","300只试运行池","盘后主输入；指标扩面目标"
"sh603501","603501.SH","豪威集团","上交所","","","","重点关注池","重点关注池强制保留","999.0","300只试运行池","盘后主输入；指标扩面目标"
"sz002812","002812.SZ","恩捷股份","深交所","主板","","","深交所官方证券列表","重点关注池强制保留","999.0","300只试运行池","盘后主输入；指标扩面目标"
"sz002049","002049.SZ","紫光国微","深交所","主板","","","深交所官方证券列表","重点关注池强制保留","999.0","300只试运行池","盘后主输入；指标扩面目标"
"sz002028","002028.SZ","思源电气","深交所","主板","","","深交所官方证券列表","重点关注池强制保留","999.0","300只试运行池","盘后主输入；指标扩面目标"
"sh600580","600580.SH","卧龙电驱","上交所","","","","重点关注池","重点关注池强制保留","999.0","300只试运行池","盘后主输入；指标扩面目标"
"sh688041","688041.SH","海光信息","上交所","","","","重点关注池","重点关注池强制保留","999.0","300只试运行池","盘后主输入；指标扩面目标"
"sh603986","603986.SH","兆易创新","上交所","","","","重点关注池","重点关注池强制保留","999.0","300只试运行池","盘后主输入；指标扩面目标"
"sz300724","300724.SZ","捷佳伟创","深交所","创业板","","","深交所官方证券列表","重点关注池强制保留","999.0","300只试运行池","盘后主输入；指标扩面目标"
"sh688235","688235.SH","百济神州","上交所","","","","重点关注池","重点关注池强制保留","999.0","300只试运行池","盘后主输入；指标扩面目标"
"sz300308","300308.SZ","中际旭创","深交所","创业板","","","深交所官方证券列表","重点关注池强制保留","999.0","300只试运行池","盘后主输入；指标扩面目标"
"sh600198","600198.SH","大唐电信","上交所","","","","重点关注池","重点关注池强制保留","999.0","300只试运行池","盘后主输入；指标扩面目标"
"sz002281","002281.SZ","光迅科技","深交所","主板","","","深交所官方证券列表","重点关注池强制保留","999.0","300只试运行池","盘后主输入；指标扩面目标"
"sh600519","600519.SH","贵州茅台","上交所","","","","当前合并股票池","当前合并股票池强制保留","999.0","300只试运行池","盘后主输入；指标扩面目标"
"sz300750","300750.SZ","宁德时代","深交所","创业板","","","深交所官方证券列表","当前合并股票池强制保留","999.0","300只试运行池","盘后主输入；指标扩面目标"
"sz002594","002594.SZ","比亚迪","深交所","主板","","","深交所官方证券列表","当前合并股票池强制保留","999.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000001","000001.SZ","平安银行","深交所","主板","","","深交所官方证券列表","成交活跃、市值代表性和行业覆盖综合入池","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000002","000002.SZ","万科Ａ","深交所","主板","","","深交所官方证券列表","成交活跃、市值代表性和行业覆盖综合入池","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000006","000006.SZ","深振业Ａ","深交所","主板","","","深交所官方证券列表","成交活跃、市值代表性和行业覆盖综合入池","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000007","000007.SZ","全新好","深交所","主板","","","深交所官方证券列表","成交活跃、市值代表性和行业覆盖综合入池","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000008","000008.SZ","神州高铁","深交所","主板","","","深交所官方证券列表","成交活跃、市值代表性和行业覆盖综合入池","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000009","000009.SZ","中国宝安","深交所","主板","","","深交所官方证券列表","成交活跃、市值代表性和行业覆盖综合入池","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000011","000011.SZ","深物业A","深交所","主板","","","深交所官方证券列表","成交活跃、市值代表性和行业覆盖综合入池","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000012","000012.SZ","南玻Ａ","深交所","主板","","","深交所官方证券列表","成交活跃、市值代表性和行业覆盖综合入池","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000014","000014.SZ","沙河股份","深交所","主板","","","深交所官方证券列表","成交活跃、市值代表性和行业覆盖综合入池","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000017","000017.SZ","深中华A","深交所","主板","","","深交所官方证券列表","成交活跃、市值代表性和行业覆盖综合入池","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000019","000019.SZ","深粮控股","深交所","主板","","","深交所官方证券列表","成交活跃、市值代表性和行业覆盖综合入池","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000020","000020.SZ","深华发Ａ","深交所","主板","","","深交所官方证券列表","成交活跃、市值代表性和行业覆盖综合入池","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000021","000021.SZ","深科技","深交所","主板","","","深交所官方证券列表","成交活跃、市值代表性和行业覆盖综合入池","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000025","000025.SZ","特力Ａ","深交所","主板","","","深交所官方证券列表","成交活跃、市值代表性和行业覆盖综合入池","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000026","000026.SZ","飞亚达","深交所","主板","","","深交所官方证券列表","成交活跃、市值代表性和行业覆盖综合入池","40.0","300只试运行池","盘后主输入；指标扩面目标"
