"代码","展示代码","名称","市场","行业","细分领域","名单分类","来源","入池理由","评分","所属池","阶段用途"
"sz002078","002078.SZ","太阳纸业","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002080","002080.SZ","中材科技","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002085","002085.SZ","万丰奥威","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002120","002120.SZ","韵达股份","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002126","002126.SZ","银轮股份","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002128","002128.SZ","电投能源","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002130","002130.SZ","沃尔核材","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002131","002131.SZ","利欧股份","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002138","002138.SZ","顺络电子","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002142","002142.SZ","宁波银行","","主板","","沪深300","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002152","002152.SZ","广电运通","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002153","002153.SZ","石基信息","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002155","002155.SZ","湖南黄金","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002156","002156.SZ","通富微电","","半导体","封装测试","半导体","""user_enhance""；""index_base""","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002157","002157.SZ","正邦科技","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002179","002179.SZ","中航光电","","主板","","沪深300","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002185","002185.SZ","华天科技","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002195","002195.SZ","岩山科技","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002202","002202.SZ","金风科技","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002203","002203.SZ","海亮股份","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002223","002223.SZ","鱼跃医疗","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002230","002230.SZ","科大讯飞","","软件互联网","AI语音","软件/互联网","""user_enhance""；""index_base""","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002236","002236.SZ","大华股份","","主板","","沪深300","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002241","002241.SZ","歌尔股份","","主板","","沪深300","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002244","002244.SZ","滨江集团","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002252","002252.SZ","上海莱士","","主板","","沪深300","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002261","002261.SZ","拓维信息","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002262","002262.SZ","恩华药业","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002265","002265.SZ","建设工业","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002266","002266.SZ","浙富控股","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002271","002271.SZ","东方雨虹","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002273","002273.SZ","水晶光电","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002281","002281.SZ","光迅科技","","主板","","历史重点关注","""user_enhance""；""index_base""","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002294","002294.SZ","信立泰","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002299","002299.SZ","圣农发展","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002304","002304.SZ","洋河股份","","主板","","沪深300","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002311","002311.SZ","海大集团","","农林牧渔","饲料","农林牧渔","""user_enhance""；""index_base""","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002312","002312.SZ","川发龙蟒","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002318","002318.SZ","久立特材","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002335","002335.SZ","科华数据","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002340","002340.SZ","格林美","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002345","002345.SZ","潮宏基","","商贸零售","黄金珠宝","商贸零售","""user_enhance""；""strategic""","用户增强观察池重点关注；未纳入L8指数基底池；商贸零售；黄金珠宝","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002352","002352.SZ","顺丰控股","","交通运输","综合物流","交通运输","""user_enhance""；""index_base""","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002353","002353.SZ","杰瑞股份","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002371","002371.SZ","北方华创","","半导体","半导体设备全品类","半导体","""user_enhance""；""index_base""","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002372","002372.SZ","伟星新材","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002384","002384.SZ","东山精密","","主板","","沪深300","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002385","002385.SZ","大北农","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002402","002402.SZ","和而泰","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002409","002409.SZ","雅克科技","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002410","002410.SZ","广联达","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002414","002414.SZ","高德红外","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002415","002415.SZ","海康威视","","主板","","沪深300","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002422","002422.SZ","科伦药业","","主板","","沪深300","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002423","002423.SZ","中粮资本","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002429","002429.SZ","兆驰股份","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002430","002430.SZ","杭氧股份","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002432","002432.SZ","九安医疗","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002436","002436.SZ","兴森科技","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002439","002439.SZ","启明星辰","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002444","002444.SZ","巨星科技","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002459","002459.SZ","晶澳科技","","主板","","沪深300","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002460","002460.SZ","赣锋锂业","","有色金属","锂资源","新能源","""user_enhance""；""index_base""","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002461","002461.SZ","珠江啤酒","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002463","002463.SZ","沪电股份","","主板","","沪深300","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002465","002465.SZ","海格通信","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002466","002466.SZ","天齐锂业","","有色金属","锂矿","资源/材料","""user_enhance""；""index_base""","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002472","002472.SZ","双环传动","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002475","002475.SZ","立讯精密","","主板","","沪深300","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002493","002493.SZ","荣盛石化","","石油石化","炼化一体化","基础化工","""user_enhance""；""index_base""","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002500","002500.SZ","山西证券","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002508","002508.SZ","老板电器","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002517","002517.SZ","恺英网络","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002532","002532.SZ","天山铝业","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002555","002555.SZ","三七互娱","","传媒","游戏","传媒","""user_enhance""；""strategic""","用户增强观察池重点关注；未纳入L8指数基底池；传媒；游戏","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002558","002558.SZ","巨人网络","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002568","002568.SZ","百润股份","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002583","002583.SZ","海能达","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002594","002594.SZ","比亚迪","","新能源","新能源整车+电池","新能源","""user_enhance""；""index_base""","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002595","002595.SZ","豪迈科技","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002600","002600.SZ","领益智造","","主板","","沪深300","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002601","002601.SZ","龙佰集团","","主板","","沪深300","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002602","002602.SZ","世纪华通","","传媒","游戏+IDC","传媒","""user_enhance""；""strategic""","用户增强观察池重点关注；未纳入L8指数基底池；传媒；游戏+IDC","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002603","002603.SZ","以岭药业","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002607","002607.SZ","中公教育","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sz002608","002608.SZ","江苏国信","","主板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
